Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-12-16,3.269,20.456
1999-12-17,3.325,17.925,24.776
1999-12-20,3.259,26.392,28.516,20.746
1999-12-21,3.409,32.024,26.049,18.247,19.387
1999-12-22,3.323,36.53,23.994,19.21,19.067,15.963
1999-12-23,3.442,32.876,20.667,22.156,16.738,16.657,20.542
1999-12-27,3.303,29.954,22.02,21.526,16.608,20.29,20.126,17.333
1999-12-28,3.265,25.175,25.825,18.701,17.693,21.984,18.92,15.995,15.69
1999-12-29,3.348,27.079,24.643,18.686,22.156,21.422,18.109,15.76,16.089,15.771
1999-12-30,3.336,32.049,21.153,20.161,24.134,19.916,16.505,16.66,16.918,14.859,12.979
1999-12-31,3.419,29.602,21.382,25.573,23.29,18.911,16.369,17.161,17.139,14.13,12.791
2000-01-03,3.722,25.027,23.468,27.722,21.307,16.951,17.543,18.15,16.033,13.755,12.194
2000-01-04,3.409,25.636,30.158,26.263,19.99,16.999,18.212,18.403,15.205,13.571,11.342
2000-01-05,3.458,28.617,32.382,23.428,17.501,18.566,19.436,17.074,14.79,12.908,10.844
2000-01-06,3.159,36.962,29.836,21.544,17.85,19.475,19.746,16.153,14.598,11.95,11.018
2000-01-07,3.309,38.869,25.624,18.731,19.976,21.02,18.133,15.72,13.836,11.405,10.611
2000-01-10,3.251,34.212,22.866,19.526,21.213,21.397,17.124,15.546,12.73,11.637,10.232
2000-01-11,3.084,27.59,19.871,22.415,23.183,19.382,16.697,14.683,12.116,11.184,9.547
2000-01-12,2.899,23.422,21.538,24.054,23.61,18.287,16.574,13.406,12.413,10.766,9.633
2000-01-13,3.217,20.715,25.645,26.548,20.982,17.895,15.595,12.726,11.892,9.995,9.308
2000-01-14,3.34,24.157,27.88,26.928,19.807,17.865,14.109,13.13,11.414,10.123,8.981
2000-01-18,3.456,30.288,31.112,23.275,19.498,16.737,13.359,12.536,10.544,9.765,8.98
2000-01-19,3.544,33.372,31.281,22.025,19.623,14.971,13.921,11.997,10.736,9.405,9.299
2000-01-20,3.774,37.619,26.228,21.864,18.284,14.138,13.239,11.025,10.342,9.428,9.079
2000-01-21,3.702,37.099,25.017,22.228,16.118,14.928,12.625,11.326,9.946,9.822,10.347
2000-01-24,3.533,30.775,25.193,20.548,15.177,14.12,11.542,10.905,10.004,9.573,11.524
2000-01-25,3.733,29.819,25.995,17.754,16.294,13.402,12.007,10.48,10.498,11.049,12.468
2000-01-26,3.664,30.635,23.747,16.646,15.291,12.191,11.563,10.602,10.21,12.412,13.466
2000-01-27,3.658,32.168,19.924,18.239,14.413,12.901,11.11,11.24,11.939,13.494,13.532
2000-01-28,3.379,28.733,18.572,16.899,13.054,12.429,11.325,10.909,13.523,14.631,13.074
2000-01-31,3.45,23.009,20.914,15.751,14.136,11.94,12.163,12.96,14.765,14.666,12.832
2000-02-01,3.334,21.209,18.977,14.242,13.624,12.29,11.769,14.824,16.062,14.091,13.097
2000-02-02,3.286,24.763,17.362,15.912,13.086,13.402,14.233,16.264,16.039,13.774,13.01
2000-02-03,3.436,21.634,15.778,15.333,13.626,12.903,16.45,17.757,15.299,14.05,12.324
2000-02-04,3.591,19.132,18.444,14.713,15.121,15.898,18.131,17.642,14.873,13.913,11.687
2000-02-07,3.793,17.799,17.744,15.531,14.436,18.56,19.858,16.674,15.153,13.171,10.963
2000-02-08,3.82,22.251,16.979,17.571,18.122,20.528,19.591,16.097,14.941,12.486,10.863
2000-02-09,3.745,21.26,18.223,16.536,21.348,22.532,18.296,16.374,14.143,11.615,10.998
2000-02-10,3.774,20.182,21.071,21.139,23.653,22.006,17.502,16.06,13.412,11.482,12.629
2000-02-11,3.616,22.097,19.349,25.084,25.977,20.227,17.764,15.215,12.347,11.625,14.895
2000-02-14,3.851,26.182,25.21,27.77,25.009,19.112,17.301,14.447,12.169,13.48,17.471
2000-02-15,3.957,23.005,30.095,30.451,22.489,19.338,16.426,13.138,12.32,16.028,18.919
2000-02-16,3.795,30.692,33.19,28.707,20.89,18.658,15.639,12.903,14.449,18.897,20.339
2000-02-17,3.82,36.842,36.245,25.023,21.054,17.793,14.171,13.066,17.334,20.45,21.657
2000-02-18,3.7,40.307,33.107,22.684,20.056,17.024,13.846,15.539,20.547,21.968,22.157
2000-02-22,3.785,43.702,27.652,22.765,19.288,15.368,14.015,18.836,22.209,23.369,21.09
2000-02-23,3.866,37.928,24.154,21.303,18.617,14.923,16.914,22.461,23.827,23.818,20.1
2000-02-24,3.831,31.566,24.174,20.829,16.744,15.102,20.709,24.231,25.31,22.469,19.506
2000-02-25,3.67,25.862,22.044,20.422,16.142,18.556,24.819,25.949,25.674,21.223,19.11
2000-02-28,3.766,25.757,22.286,18.302,16.351,22.971,26.679,27.511,23.955,20.455,18.742
2000-02-29,3.812,22.466,22.488,17.509,20.546,27.665,28.479,27.738,22.379,20.107,18.131
2000-03-01,4.333,24.194,20.073,17.801,25.749,29.581,30.099,25.53,21.387,19.786,17.563
2000-03-02,4.057,25.576,19.088,23.024,31.155,31.434,30.104,23.523,21.126,19.174,16.877
2000-03-03,4.257,22.612,19.598,29.251,33.056,33.081,27.23,22.243,20.887,18.609,17.179
2000-03-06,4.18,21.468,26.303,35.53,34.899,32.738,24.643,22.131,20.292,17.899,18.771
2000-03-07,4.086,22.466,33.877,37.265,36.512,29.255,22.988,22.029,19.747,18.313,20.063
2000-03-08,4.057,31.312,41.219,38.977,35.619,26.159,23.117,21.481,19.021,20.152,21.263
2000-03-09,4.065,40.599,42.458,40.444,31.801,23.951,23.233,20.983,19.585,21.632,21.264
2000-03-10,4.182,49.124,43.785,38.661,28.461,24.424,22.776,20.254,21.729,22.999,20.771
2000-03-13,4.034,49.074,44.891,34.582,25.389,24.844,22.364,21.02,23.436,22.956,19.773
2000-03-14,3.799,49.45,41.615,31.085,26.336,24.506,21.648,23.543,25.001,22.339,19.203
2000-03-15,3.866,49.75,37.536,26.741,27.164,24.205,22.687,25.525,24.886,21.144,18.972
2000-03-16,4.042,43.812,34.137,28.46,26.958,23.492,25.682,27.328,24.101,20.454,17.75
2000-03-17,4.157,40.507,29.048,29.934,26.778,24.874,27.998,27.096,22.647,20.161,16.638
2000-03-20,4.09,37.863,31.857,29.929,26.026,28.443,30.082,26.075,21.798,18.805,16.069
2000-03-21,4.487,32.138,34.199,29.925,27.831,31.139,29.66,24.273,21.422,17.5,15.46
2000-03-22,4.795,36.632,34.329,29.091,32.083,33.535,28.296,23.212,19.923,16.832,14.895
2000-03-23,4.699,40.227,34.437,31.469,35.194,32.78,26.014,22.725,18.373,16.123,14.997
2000-03-24,4.612,40.292,33.294,36.58,37.915,30.89,24.663,21.083,17.583,15.468,15.813
2000-03-27,4.641,40.343,36.381,40.151,36.574,27.917,24.029,19.218,16.749,15.593,16.691
2000-03-28,4.626,38.386,42.504,43.212,33.861,26.154,22.259,18.277,15.985,16.537,17.507
2000-03-29,4.52,42.437,46.49,40.876,29.866,25.311,20.084,17.29,16.147,17.546,18.355
2000-03-30,4.182,49.807,49.812,36.873,27.513,23.455,18.945,16.393,17.258,18.478,19.746
2000-03-31,4.516,54.084,45.689,31.846,26.387,21.074,17.761,16.613,18.435,19.443,21.631
2000-04-03,4.433,57.504,39.574,28.609,24.551,19.658,16.695,17.948,19.514,21.022,23.38
2000-04-04,4.234,50.129,34.214,27.092,21.997,18.202,17.005,19.347,20.625,23.145,23.582
2000-04-05,4.336,40.502,29.527,25.497,20.217,16.908,18.642,20.618,22.439,25.105,24.287
2000-04-06,4.163,35.706,27.421,22.849,18.407,17.355,20.335,21.918,24.852,25.233,24.729
