Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-12-15,3.226,100.816
1999-12-16,3.269,67.191,112.314
1999-12-17,3.325,120,16.129,-124.896
1999-12-20,3.259,8.772,-109.705,-31.487,46.32
1999-12-21,3.409,-166.667,-53.886,38.209,55.299,252.492
1999-12-22,3.323,-42.357,38.265,52.394,227.431,79.374,90.99
1999-12-23,3.442,37.952,48.788,200.919,69.863,82.244,-81.22,-81.598
1999-12-27,3.303,73.619,197.573,67.274,75.382,-73.932,-75.546,-78.687,-147.402
1999-12-28,3.265,166.667,55.944,65.24,-71.16,-71.341,-73.572,-135.379,-180.049,-65.166
1999-12-29,3.348,36.928,52.605,-89.456,-83.875,-83.42,-141.963,-176.768,-65.245,14.714,60.542
1999-12-30,3.336,38.834,-105.958,-91.417,-86.511,-139.172,-164.431,-60.727,13.11,56.136,94.027
1999-12-31,3.419,-114.506,-89.376,-80.811,-123.95,-150.656,-55.192,14.534,54.622,89.282,192.185
2000-01-03,3.722,-86.375,-73.31,-109.077,-138.09,-49.652,16.92,54.254,85.648,178.654,110.215
2000-01-04,3.409,-63.649,-114.056,-151.409,-40.923,39.359,79.115,106.505,194.264,117.46,66.423
2000-01-05,3.458,-124.843,-139.644,-26.475,57.213,97.197,120.659,196.904,116.246,65.837,72.724
2000-01-06,3.159,-129.967,0.607,94.152,126.479,148.34,207.519,119.521,67.716,73.003,86.226
2000-01-07,3.309,15.411,100.315,120.832,135.269,189.227,109.392,61.657,67.419,80.998,62.348
2000-01-10,3.251,107.554,114.038,120.099,171.794,99.436,55.504,61.843,75.381,57.635,1.204
2000-01-11,3.084,105.298,103.08,154.101,89.756,49.197,56.094,69.745,52.854,-3.812,-41.544
2000-01-12,2.899,91.882,143.229,82.437,40.783,48.752,64.921,47.649,-14.542,-53.785,-39.498
2000-01-13,3.217,145.23,72.276,25.443,38.034,60.346,39.162,-40.003,-84.049,-63.725,-88.868
2000-01-14,3.34,55.446,4.531,22.193,52.545,27.058,-70.07,-113.22,-84.721,-108.542,-54.831
2000-01-18,3.456,-19.143,1.488,40.016,10.565,-100,-138.247,-100.051,-118.931,-62.375,10.232
2000-01-19,3.544,-23.983,22.048,-12.138,-130.95,-155.772,-110.117,-122.487,-65.003,6.1,70.733
2000-01-20,3.774,0.77,-36.986,-150.398,-159.678,-108.128,-115.547,-61.084,4.916,65.847,97.489
2000-01-21,3.702,-6.358,-162.118,-156.197,-98.465,-109.991,-53.054,19.771,82.926,113.871,102.514
2000-01-24,3.533,-146.991,-138.596,-87.5,-103.139,-45.434,31.351,93.316,120.254,107.374,75.941
2000-01-25,3.733,-116.546,-75.54,-93.24,-38.971,35.595,92.455,114.974,101.439,71.462,39.322
2000-01-26,3.664,-64.272,-86.454,-30.884,46.476,98.182,114.706,98.962,69.81,38.959,76.782
