Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-12-16,3.269,14.968
1999-12-17,3.325,19.273,32.231
1999-12-20,3.259,33.338,25.189,22.253
1999-12-21,3.409,24.694,21.412,20.371,15.956
1999-12-22,3.323,20.272,19.306,14.77,13.495,12.483
1999-12-23,3.442,17.891,13.249,12.323,11.373,22.97,20.849
1999-12-27,3.303,11.355,10.907,10.171,23.042,20.714,18.523,22.222
1999-12-28,3.265,9.262,8.76,23.317,20.562,18.202,22.279,24.818,21.325
1999-12-29,3.348,7.164,23.824,20.53,17.822,22.329,25.071,21.301,19.952,18.834
1999-12-30,3.336,24.802,20.608,17.483,22.413,25.357,21.25,19.831,18.629,17.685,15.379
1999-12-31,3.419,20.925,17.137,22.653,25.726,21.168,19.666,18.417,17.412,14.941,18.098
2000-01-03,3.722,16.818,23.072,26.303,21.073,19.449,18.146,17.119,14.533,17.853,21.802
2000-01-04,3.409,23.809,27.136,21.025,19.187,17.804,16.755,14.085,17.666,21.815,22.196
2000-01-05,3.458,28.388,20.984,18.918,17.388,16.304,13.549,17.481,21.924,22.232,21.212
2000-01-06,3.159,20.929,18.579,16.918,15.757,12.906,17.266,22.087,22.357,21.182,22.705
2000-01-07,3.309,18.101,16.311,15.116,12.139,17.02,22.293,22.532,21.225,22.777,26.666
2000-01-10,3.251,15.46,14.288,11.236,16.762,22.568,22.747,21.3,22.935,26.993,30.143
2000-01-11,3.084,13.144,10.108,16.531,22.966,23.024,21.392,23.145,27.438,30.666,28.663
2000-01-12,2.899,8.645,16.334,23.589,23.405,21.513,23.4,27.982,31.329,29.058,30.199
2000-01-13,3.217,16.243,24.549,23.965,21.689,23.72,28.634,32.121,29.563,30.68,28.523
2000-01-14,3.34,26.098,24.773,21.967,24.146,29.435,33.059,30.16,31.281,28.855,26.57
2000-01-18,3.456,25.965,22.366,24.741,30.451,34.194,30.855,31.987,29.272,26.735,24.339
2000-01-19,3.544,22.923,25.562,31.786,35.601,31.675,32.809,29.751,26.95,24.329,23.114
2000-01-20,3.774,26.71,33.558,37.393,32.662,33.778,30.288,27.181,24.332,23.013,21.968
2000-01-21,3.702,35.968,39.699,33.871,34.944,30.891,27.411,24.31,22.909,21.786,23.698
2000-01-24,3.533,42.714,35.329,36.368,31.568,27.624,24.231,22.759,21.584,23.66,24.091
2000-01-25,3.733,37.041,38.096,32.318,27.794,24.064,22.528,21.32,23.632,24.087,22.188
2000-01-26,3.664,40.167,33.075,27.865,23.759,22.179,20.955,23.581,24.098,22.035,21.016
2000-01-27,3.658,33.673,27.689,23.224,21.652,20.446,23.484,24.097,21.868,20.778,22.805
2000-01-28,3.379,26.969,22.277,20.849,19.73,23.322,24.065,21.653,20.511,22.729,22.178
2000-01-31,3.45,20.598,19.584,18.703,23.071,23.992,21.364,20.179,22.655,22.052,23.657
2000-02-01,3.334,17.557,17.186,22.695,23.865,20.976,19.751,22.562,21.918,23.663,25.64
2000-02-02,3.286,14.911,22.137,23.671,20.454,19.197,22.436,21.754,23.688,25.803,23.374
2000-02-03,3.436,21.377,23.396,19.754,18.477,22.272,21.541,23.717,26.011,23.345,21.489
2000-02-04,3.591,23.088,18.811,17.536,22.071,21.27,23.746,26.258,23.323,21.317,21.65
2000-02-07,3.793,17.574,16.3,21.841,20.932,23.786,26.552,23.293,21.127,21.504,21.993
2000-02-08,3.82,14.699,21.617,20.523,23.854,26.914,23.246,20.899,21.347,21.886,20.848
2000-02-09,3.745,21.515,20.052,23.993,27.38,23.183,20.617,21.16,21.773,20.656,17.248
2000-02-10,3.774,19.584,24.284,28.011,23.105,20.269,20.933,21.642,20.445,16.843,15.642
2000-02-11,3.616,24.917,28.901,23.016,19.841,20.661,21.487,20.199,16.39,15.168,15.066
2000-02-14,3.851,30.223,22.92,19.313,20.338,21.306,19.907,15.87,14.641,14.593,14.45
2000-02-15,3.957,22.813,18.65,19.957,21.103,19.561,15.267,14.042,14.071,13.954,17.412
2000-02-16,3.795,17.787,19.51,20.883,19.153,14.566,13.357,13.486,13.408,17.164,19.068
2000-02-17,3.82,18.982,20.658,18.672,13.75,12.573,12.825,12.796,16.909,18.956,17.754
2000-02-18,3.7,20.45,18.102,12.794,11.673,12.081,12.109,16.646,18.862,17.553,16.496
2000-02-22,3.785,17.409,11.662,10.638,11.245,11.338,16.382,18.79,17.353,16.217,16.849
2000-02-23,3.866,10.293,9.438,10.308,10.474,16.133,18.755,17.153,15.924,16.617,20.578
2000-02-24,3.831,8.029,9.26,9.508,15.929,18.785,16.96,15.615,16.382,20.641,19.318
2000-02-25,3.67,8.09,8.43,15.823,18.927,16.791,15.29,16.141,20.75,19.285,17.876
