Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-12-16,3.269,22.261
1999-12-17,3.325,17.463,14.121
1999-12-20,3.259,14.08,19.408,21.722
1999-12-21,3.409,20.365,22.954,19.519,36.295
1999-12-22,3.323,24.428,20.224,38.627,28.394,23.602
1999-12-23,3.442,20.917,41.807,29.287,23.929,19.034,17.493
1999-12-27,3.303,45.796,30.42,24.173,18.879,17.166,17.4,15.56
1999-12-28,3.265,31.496,24.432,18.548,16.847,17.105,15.175,13.743,15.977
1999-12-29,3.348,24.364,18.076,16.332,16.823,14.727,13.263,15.778,19.045,21.994
1999-12-30,3.336,17.142,15.635,16.381,14.254,12.711,15.526,19.081,22.252,23.774,32.492
1999-12-31,3.419,14.463,15.809,13.596,12.111,15.254,19.112,22.528,24.141,33.328,31.157
2000-01-03,3.722,14.895,12.758,11.318,15.004,19.184,22.846,24.546,34.262,31.871,28.767
2000-01-04,3.409,11.544,10.332,14.688,19.357,23.264,25.016,35.322,32.66,29.269,25.767
2000-01-05,3.458,8.982,14.362,19.592,23.863,25.613,36.562,33.544,29.806,26.025,25.686
2000-01-06,3.159,14.007,20.008,24.649,26.424,38.064,34.563,30.385,26.275,25.927,24.13
2000-01-07,3.309,20.713,25.796,27.473,39.954,35.783,31.026,26.514,26.157,24.249,21.709
2000-01-10,3.251,27.527,28.942,42.329,37.293,31.762,26.74,26.373,24.339,21.656,19.757
2000-01-11,3.084,31.068,45.447,39.142,32.631,26.958,26.573,24.389,21.548,19.581,19.891
2000-01-12,2.899,49.651,41.486,33.601,27.16,26.76,24.39,21.368,19.335,19.734,18.868
2000-01-13,3.217,44.475,34.678,27.255,26.924,24.331,21.099,19.001,19.513,18.648,19.99
2000-01-14,3.34,35.736,27.143,26.979,24.185,20.717,18.555,19.214,18.356,19.863,24.509
2000-01-18,3.456,26.544,26.832,23.843,20.177,17.971,18.818,17.977,19.687,24.72,26.744
2000-01-19,3.544,26.239,23.177,19.359,17.198,18.304,17.49,19.452,24.947,27.097,27.334
