Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-12-15,3.226,0
1999-12-16,3.269,40,0
1999-12-17,3.325,60,50,0
1999-12-20,3.259,60,50,42.857,0
1999-12-21,3.409,80,66.667,57.143,50,0
1999-12-22,3.323,60,66.667,57.143,50,44.444,0
1999-12-23,3.442,60,66.667,71.429,62.5,55.556,50,0
1999-12-27,3.303,40,50,57.143,62.5,55.556,50,45.455,0
1999-12-28,3.265,40,33.333,42.857,50,55.556,50,45.455,41.667,0
1999-12-29,3.348,40,50,42.857,50,55.556,60,54.545,50,46.154,0
1999-12-30,3.336,40,33.333,42.857,37.5,44.444,50,54.545,50,46.154,42.857
1999-12-31,3.419,40,50,42.857,50,44.444,50,54.545,58.333,53.846,50
2000-01-03,3.722,60,50,57.143,50,55.556,50,54.545,58.333,61.538,57.143
2000-01-04,3.409,60,50,42.857,50,44.444,50,45.455,50,53.846,57.143
2000-01-05,3.458,60,66.667,57.143,50,55.556,50,54.545,50,53.846,57.143
2000-01-06,3.159,60,50,57.143,50,44.444,50,45.455,50,46.154,50
2000-01-07,3.309,60,66.667,57.143,62.5,55.556,50,54.545,50,53.846,50
2000-01-10,3.251,40,50,57.143,50,55.556,50,45.455,50,46.154,50
2000-01-11,3.084,40,33.333,42.857,50,44.444,50,45.455,41.667,46.154,42.857
2000-01-12,2.899,20,33.333,28.571,37.5,44.444,40,45.455,41.667,38.462,42.857
2000-01-13,3.217,40,33.333,42.857,37.5,44.444,50,45.455,50,46.154,42.857
2000-01-14,3.34,40,50,42.857,50,44.444,50,54.545,50,53.846,50
2000-01-18,3.456,60,50,57.143,50,55.556,50,54.545,58.333,53.846,57.143
2000-01-19,3.544,80,66.667,57.143,62.5,55.556,60,54.545,58.333,61.538,57.143
2000-01-20,3.774,100,83.333,71.429,62.5,66.667,60,63.636,58.333,61.538,64.286
2000-01-21,3.702,80,83.333,71.429,62.5,55.556,60,54.545,58.333,53.846,57.143
2000-01-24,3.533,60,66.667,71.429,62.5,55.556,50,54.545,50,53.846,50
2000-01-25,3.733,60,66.667,71.429,75,66.667,60,54.545,58.333,53.846,57.143
2000-01-26,3.664,40,50,57.143,62.5,66.667,60,54.545,50,53.846,50
2000-01-27,3.658,20,33.333,42.857,50,55.556,60,54.545,50,46.154,50
2000-01-28,3.379,20,16.667,28.571,37.5,44.444,50,54.545,50,46.154,42.857
2000-01-31,3.45,40,33.333,28.571,37.5,44.444,50,54.545,58.333,53.846,50
