Date,Close,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14,wsize_15,wsize_16,wsize_17
1999-12-20,3.259,0
1999-12-21,3.409,62.887,0
1999-12-22,3.323,65.741,48.797,0
1999-12-23,3.442,92.129,92.129,68.385,0
1999-12-27,3.303,61.111,61.111,61.111,45.361,0
1999-12-28,3.265,39.645,52.778,52.778,52.778,39.175,0
1999-12-29,3.348,59.477,63.313,71.296,71.296,71.296,52.921,0
1999-12-30,3.336,55.556,55.556,59.763,68.518,68.518,68.518,50.859,0
1999-12-31,3.419,81.699,81.699,81.699,83.432,87.037,87.037,87.037,64.605,0
2000-01-03,3.722,96.786,96.786,96.786,96.786,96.959,97.376,97.376,97.376,97.376,0
2000-01-04,3.409,42.857,42.857,42.857,42.857,42.857,45.946,53.353,53.353,53.353,53.353
2000-01-05,3.458,51.428,51.428,51.428,51.428,51.428,51.428,54.054,60.35,60.35,60.35
2000-01-06,3.159,-0,-0,-0,-0,-0,-0,-0,5.405,18.367,18.367
2000-01-07,3.309,25.714,25.714,25.714,25.714,25.714,25.714,25.714,25.714,29.73,39.359
2000-01-10,3.251,16.901,16.901,16.901,16.901,16.901,16.901,16.901,16.901,16.901,20.27
2000-01-11,3.084,10.227,10.227,10.227,10.227,10.227,10.227,10.227,10.227,10.227,10.227
2000-01-12,2.899,2.644,2.644,2.644,2.644,2.644,2.644,2.644,2.644,2.644,2.644
2000-01-13,3.217,42.487,39.423,39.423,39.423,39.423,39.423,39.423,39.423,39.423,39.423
2000-01-14,3.34,57.922,57.772,53.606,53.606,53.606,53.606,53.606,53.606,53.606,53.606
2000-01-18,3.456,85.061,72.468,72.28,67.067,67.067,67.067,67.067,67.067,67.067,67.067
2000-01-19,3.544,90.169,90.169,83.377,83.161,77.163,77.163,77.163,77.163,77.163,77.163
2000-01-20,3.774,77.143,77.143,77.143,77.143,77.143,77.143,77.143,77.143,77.143,77.143
2000-01-21,3.702,70.893,70.893,70.893,70.893,70.893,70.893,70.893,70.893,70.893,70.893
