Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-12-15,3.226,-4.687
1999-12-16,3.269,-43.787,-10.059
1999-12-17,3.325,-13.386,-66.142,-66.667
1999-12-20,3.259,-66.142,-66.667,-40.523,-44.444
1999-12-21,3.409,-66.667,-40.523,-44.444,-18.301,-3.214
1999-12-22,3.323,-40.523,-44.444,-18.301,-3.214,-57.143,-48.572
1999-12-23,3.442,-43.709,-17.219,-3.214,-57.143,-48.572,-100,-74.286
1999-12-27,3.303,-17.219,-3.214,-57.143,-48.572,-100,-74.286,-83.099,-89.773
1999-12-28,3.265,-3.214,-57.143,-48.572,-100,-74.286,-83.099,-89.773,-97.356,-60.577
1999-12-29,3.348,-58.824,-50,-100,-74.286,-83.099,-89.773,-97.356,-60.577,-46.394,-32.933
1999-12-30,3.336,-65.385,-100,-74.286,-83.099,-89.773,-97.356,-60.577,-46.394,-32.933,-22.837
1999-12-31,3.419,-100,-74.286,-83.099,-89.773,-97.356,-60.577,-46.394,-32.933,-22.837,-22.857
2000-01-03,3.722,-74.286,-83.099,-89.773,-97.356,-60.577,-46.394,-32.933,-22.837,-22.857,-29.107
2000-01-04,3.409,-81.102,-88.82,-97.15,-57.513,-42.228,-27.72,-16.839,-22.857,-29.107,-43.571
2000-01-05,3.458,-88.785,-97.143,-57.403,-42.078,-27.532,-16.623,-22.857,-29.107,-43.571,-26.429
2000-01-06,3.159,-96.646,-50,-32.012,-14.939,-9.831,-22.857,-29.107,-43.571,-26.429,-32.321
2000-01-07,3.309,-34.921,-11.508,-10.577,-9.831,-22.857,-29.107,-43.571,-26.429,-32.321,-32.857
2000-01-10,3.251,-11.508,-10.577,-9.831,-22.857,-29.107,-43.571,-26.429,-32.321,-32.857,-56.786
2000-01-11,3.084,-10.577,-9.831,-22.857,-29.107,-43.571,-26.429,-32.321,-32.857,-56.786,-50.714
2000-01-12,2.899,-9.831,-22.857,-29.107,-43.571,-26.429,-32.321,-32.857,-56.786,-50.714,-60.714
2000-01-13,3.217,-27.586,-35.129,-52.586,-31.897,-39.009,-39.655,-68.534,-61.207,-73.276,-78.233
2000-01-14,3.34,-46.045,-68.927,-41.808,-51.13,-51.977,-89.831,-65.741,-78.704,-84.028,-67.361
2000-01-18,3.456,-72.404,-43.917,-53.709,-54.599,-94.362,-65.741,-78.704,-84.028,-67.361,-50
2000-01-19,3.544,-48.366,-59.15,-60.131,-95.21,-65.741,-78.704,-84.028,-67.361,-50,-27.546
2000-01-20,3.774,-59.15,-60.131,-95.21,-65.741,-78.704,-84.028,-67.361,-50,-27.546,-24.537
2000-01-21,3.702,-35.789,-92.661,-53.165,-70.886,-78.165,-55.38,-31.646,-0.949,-5.78,-19.89
2000-01-24,3.533,-92.627,-53.016,-70.794,-78.095,-55.238,-31.429,-0.949,-5.78,-19.89,-16.022
2000-01-25,3.733,-53.016,-70.794,-78.095,-55.238,-31.429,-0.949,-5.78,-19.89,-16.022,-37.017
2000-01-26,3.664,-70.794,-78.095,-55.238,-31.429,-0.949,-5.78,-19.89,-16.022,-37.017,-5.801
2000-01-27,3.658,-76.689,-52.365,-27.027,-0.949,-5.78,-19.89,-16.022,-37.017,-5.801,-3.685
2000-01-28,3.379,-46.183,-17.557,-0.949,-5.78,-19.89,-16.022,-37.017,-5.801,-3.685,-22.85
2000-01-31,3.45,-12.903,-0.949,-5.78,-19.89,-16.022,-37.017,-5.801,-3.685,-22.85,-19.902
2000-02-01,3.334,-1.087,-6.536,-22.36,-18.013,-41.615,-6.522,-4.087,-25.341,-22.071,-37.875
2000-02-02,3.286,-6.536,-22.36,-18.013,-41.615,-6.522,-4.087,-25.341,-22.071,-37.875,-26.703
2000-02-03,3.436,-26.667,-21.482,-49.63,-7.778,-4.762,-29.524,-25.714,-44.127,-31.111,-18.73
2000-02-04,3.591,-26.852,-62.037,-9.722,-5.747,-35.632,-31.034,-53.257,-37.548,-22.605,-29.023
2000-02-07,3.793,-74.86,-11.732,-6.696,-41.518,-36.161,-62.054,-43.75,-26.339,-33.817,-68.304
2000-02-08,3.82,-14.789,-8.021,-49.733,-43.315,-74.331,-46.226,-27.83,-35.731,-72.17,-50.472
2000-02-09,3.745,-8.021,-49.733,-43.315,-74.331,-46.226,-27.83,-35.731,-72.17,-50.472,-40.094
2000-02-10,3.774,-49.733,-43.315,-74.331,-46.226,-27.83,-35.731,-72.17,-50.472,-40.094,-6.897
2000-02-11,3.616,-43.315,-74.331,-46.226,-27.83,-35.731,-72.17,-50.472,-40.094,-6.897,-39.655
2000-02-14,3.851,-76.795,-46.226,-27.83,-35.731,-72.17,-50.472,-40.094,-6.897,-39.655,-16.01
2000-02-15,3.957,-46.226,-27.83,-35.731,-72.17,-50.472,-40.094,-6.897,-39.655,-16.01,-25.123
2000-02-16,3.795,-22.335,-31.533,-70.352,-47.236,-36.181,-6.897,-39.655,-16.01,-25.123,-36.207
2000-02-17,3.82,-31.533,-70.352,-47.236,-36.181,-6.897,-39.655,-16.01,-25.123,-36.207,-39.655
2000-02-18,3.7,-70.352,-47.236,-36.181,-6.897,-39.655,-16.01,-25.123,-36.207,-39.655,-38.67
2000-02-22,3.785,-47.236,-36.181,-6.897,-39.655,-16.01,-25.123,-36.207,-39.655,-38.67,-24.877
2000-02-23,3.866,-41.86,-7.388,-42.48,-17.15,-26.913,-38.786,-42.48,-41.425,-26.649,-45.383
2000-02-24,3.831,-7.388,-42.48,-17.15,-26.913,-38.786,-42.48,-41.425,-26.649,-45.383,-75.198
2000-02-25,3.67,-42.48,-17.15,-26.913,-38.786,-42.48,-41.425,-26.649,-45.383,-75.198,-66.755
2000-02-28,3.766,-17.15,-26.913,-38.786,-42.48,-41.425,-26.649,-45.383,-75.198,-66.755,-44.327
2000-02-29,3.812,-32.692,-47.115,-51.603,-50.321,-32.372,-55.128,-91.346,-81.09,-53.846,-36.218
2000-03-01,4.333,-67.742,-74.194,-71.041,-45.701,-77.828,-98.616,-87.543,-58.132,-39.1,-50.173
2000-03-02,4.057,-67.456,-63.218,-31.034,-71.839,-98.347,-85.124,-50,-27.273,-40.496,-7.967
2000-03-03,4.257,-63.218,-31.034,-71.839,-98.347,-85.124,-50,-27.273,-40.496,-7.967,-0.617
2000-03-06,4.18,-31.034,-71.839,-98.347,-85.124,-50,-27.273,-40.496,-7.967,-0.617,-24.914
2000-03-07,4.086,-68.387,-98.206,-83.857,-45.74,-21.076,-35.426,-7.967,-0.617,-24.914,-32.131
2000-03-08,4.057,-98.206,-83.857,-45.74,-21.076,-35.426,-7.967,-0.617,-24.914,-32.131,-29.725
