Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-12-15,3.226,-0.012
1999-12-16,3.269,0.006,0.001
1999-12-17,3.325,0.018,0.017,0.014
1999-12-20,3.259,-0.003,-0.001,-0.003,-0.005
1999-12-21,3.409,0.026,0.03,0.033,0.033,0.032
1999-12-22,3.323,-0.002,0,0.004,0.006,0.006,0.005
1999-12-23,3.442,0.021,0.024,0.027,0.03,0.033,0.034,0.034
1999-12-27,3.303,-0.016,-0.015,-0.013,-0.011,-0.009,-0.007,-0.007,-0.007
1999-12-28,3.265,-0.019,-0.019,-0.02,-0.019,-0.018,-0.017,-0.016,-0.015,-0.015
1999-12-29,3.348,0.006,0.004,0.004,0.004,0.005,0.006,0.007,0.008,0.009,0.008
1999-12-30,3.336,0.002,0.002,0,0,0,0.001,0.001,0.003,0.004,0.004
1999-12-31,3.419,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.022,0.024,0.025
2000-01-03,3.722,0.068,0.076,0.08,0.084,0.086,0.089,0.091,0.093,0.095,0.098
2000-01-04,3.409,-0.021,-0.016,-0.011,-0.008,-0.006,-0.004,-0.003,-0.001,0.001,0.003
2000-01-05,3.458,-0.007,-0.005,-0.001,0.003,0.005,0.007,0.008,0.01,0.012,0.013
2000-01-06,3.159,-0.066,-0.069,-0.07,-0.069,-0.068,-0.068,-0.068,-0.067,-0.067,-0.066
2000-01-07,3.309,-0.009,-0.015,-0.018,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
2000-01-10,3.251,-0.011,-0.019,-0.025,-0.028,-0.03,-0.031,-0.031,-0.032,-0.032,-0.032
2000-01-11,3.084,-0.039,-0.045,-0.053,-0.059,-0.063,-0.066,-0.068,-0.069,-0.071,-0.072
2000-01-12,2.899,-0.062,-0.071,-0.078,-0.087,-0.095,-0.1,-0.104,-0.107,-0.109,-0.111
2000-01-13,3.217,0.032,0.029,0.023,0.018,0.01,0.004,-0.001,-0.005,-0.008,-0.01
2000-01-14,3.34,0.051,0.05,0.05,0.048,0.045,0.039,0.035,0.031,0.028,0.026
2000-01-18,3.456,0.054,0.061,0.064,0.066,0.066,0.065,0.062,0.059,0.057,0.055
2000-01-19,3.544,0.044,0.056,0.064,0.069,0.073,0.075,0.076,0.074,0.073,0.072
2000-01-20,3.774,0.062,0.078,0.091,0.101,0.108,0.114,0.118,0.121,0.121,0.121
2000-01-21,3.702,0.019,0.029,0.042,0.054,0.063,0.07,0.076,0.08,0.084,0.085
2000-01-24,3.533,-0.025,-0.02,-0.013,-0.004,0.005,0.012,0.018,0.023,0.027,0.03
2000-01-25,3.733,0.018,0.022,0.027,0.033,0.041,0.05,0.057,0.063,0.068,0.073
2000-01-26,3.664,-0.001,-0,0.002,0.006,0.011,0.018,0.025,0.031,0.037,0.042
2000-01-27,3.658,-0.001,-0.002,-0.002,0,0.003,0.008,0.014,0.02,0.025,0.03
2000-01-28,3.379,-0.053,-0.056,-0.06,-0.061,-0.062,-0.061,-0.058,-0.054,-0.05,-0.046
2000-01-31,3.45,-0.02,-0.024,-0.028,-0.031,-0.034,-0.035,-0.034,-0.033,-0.03,-0.026
2000-02-01,3.334,-0.031,-0.038,-0.043,-0.048,-0.052,-0.055,-0.057,-0.057,-0.057,-0.055
2000-02-02,3.286,-0.025,-0.032,-0.04,-0.045,-0.05,-0.054,-0.058,-0.06,-0.061,-0.061
2000-02-03,3.436,0.018,0.014,0.009,0.003,-0.001,-0.005,-0.009,-0.013,-0.015,-0.016
2000-02-04,3.591,0.043,0.045,0.044,0.042,0.039,0.036,0.033,0.03,0.028,0.026
2000-02-07,3.793,0.063,0.07,0.076,0.078,0.079,0.078,0.077,0.076,0.074,0.073
2000-02-08,3.82,0.038,0.049,0.057,0.064,0.068,0.07,0.07,0.071,0.071,0.07
2000-02-09,3.745,0.003,0.013,0.021,0.028,0.034,0.038,0.04,0.041,0.042,0.043
2000-02-10,3.774,0.002,0.008,0.015,0.023,0.029,0.034,0.038,0.041,0.042,0.044
2000-02-11,3.616,-0.029,-0.029,-0.026,-0.021,-0.016,-0.012,-0.008,-0.005,-0.003,-0.001
2000-02-14,3.851,0.025,0.024,0.026,0.029,0.034,0.039,0.043,0.048,0.051,0.054
2000-02-15,3.957,0.035,0.037,0.039,0.041,0.045,0.05,0.055,0.06,0.065,0.069
2000-02-16,3.795,-0.008,-0.005,-0.004,-0.003,-0.001,0.002,0.006,0.01,0.014,0.018
2000-02-17,3.82,-0.003,-0.001,0.001,0.002,0.003,0.005,0.007,0.011,0.014,0.018
2000-02-18,3.7,-0.025,-0.025,-0.024,-0.024,-0.024,-0.024,-0.023,-0.021,-0.018,-0.015
2000-02-22,3.785,0.001,-0.002,-0.002,-0.002,-0.001,-0.001,-0.001,-0,0.001,0.004
2000-02-23,3.866,0.017,0.016,0.014,0.015,0.016,0.017,0.017,0.017,0.018,0.02
2000-02-24,3.831,0.005,0.006,0.005,0.004,0.005,0.005,0.006,0.007,0.007,0.008
