Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-01-11,25.899,33.732
1999-01-12,24.966,38.013,41.469
1999-01-13,25.251,42.503,44.537,41.931
1999-01-14,24.889,46.095,47.414,39.443,32.941
1999-01-15,26.294,49.509,43.228,35.682,29.261,24.319
1999-01-19,27.325,52.691,39.417,34.51,26.901,22.83,23.007
1999-01-20,28.554,45.284,36.491,30.6,25.357,22.797,24.766,27.396
1999-01-21,27.797,38.892,36.542,28.329,24.006,23.66,27.175,29.099,24.146
1999-01-22,27.435,37.931,32.385,27.039,24.42,26.096,29.344,28.075,23.205,20.542
1999-01-25,28.423,40.154,30.323,25.933,25.861,29.189,31.482,25.993,22.367,20.233,18.426
1999-01-26,30.124,35.425,29.461,27.002,29.066,31.938,30.207,24.874,21.582,20.06,17.213
1999-01-27,29.608,33.562,28.742,29.236,32.91,34.593,27.661,23.887,21.297,19.118,16.649
1999-01-28,30.552,33.245,30.772,33.418,36.273,32.883,26.306,22.968,21.167,17.761,17.035
1999-01-29,30.727,32.992,34.1,38.152,39.453,29.638,25.124,22.653,20.099,17.184,17.261
1999-02-01,30.365,36.379,39.506,42.209,36.912,27.918,24.032,22.524,18.536,17.699,17.793
1999-02-02,29.432,41.155,45.253,45.951,32.52,26.436,23.688,21.243,17.95,18.018,17.675
1999-02-03,29.29,47.988,50.042,41.963,30.173,25.084,23.571,19.37,18.631,18.682,18.091
1999-02-04,27.929,54.742,54.32,36.173,28.178,24.686,22.013,18.832,19.065,18.566,19.047
1999-02-05,28.093,60.145,47.776,32.803,26.388,24.574,19.884,19.761,19.89,19.067,19.935
1999-02-08,29.015,64.77,40.947,29.995,25.872,22.622,19.515,20.374,19.768,20.178,21.182
1999-02-09,28.104,53.562,35.83,27.528,25.735,20.422,20.845,21.426,20.362,21.204,22.539
1999-02-10,28.203,45.963,31.68,26.851,23.181,20.361,21.75,21.304,21.652,22.629,23.902
1999-02-11,28.576,38.021,28.138,26.699,21.02,22.264,23.141,22.021,22.834,24.169,23.589
1999-02-12,27.698,31.843,27.284,23.252,21.481,23.58,23.041,23.532,24.464,25.707,22.584
1999-02-16,27.435,26.776,27.19,21.402,24.203,25.425,23.931,24.906,26.212,25.256,22.893
1999-02-17,26.338,26.069,22.939,22.784,26.084,25.325,25.731,26.781,27.946,24.007,23.22
1999-02-18,25.591,26.468,21.888,26.711,28.525,26.414,27.351,28.773,27.29,24.291,24.123
1999-02-19,25.943,22.787,24.806,29.388,28.356,28.555,29.529,30.733,25.708,24.599,25.158
1999-02-22,26.129,23.343,30.459,32.624,29.65,30.458,31.818,29.779,25.94,25.567,24.719
1999-02-23,27.292,28.682,34.176,32.231,32.178,32.986,34.048,27.744,26.207,26.681,24.313
1999-02-24,26.842,36.65,38.39,33.708,34.389,35.609,32.662,27.888,27.236,26.085,24.518
1999-02-25,26.952,41.507,37.357,36.667,37.307,38.137,30.003,28.081,28.433,25.535,24.866
1999-02-26,26.36,46.729,38.876,39.203,40.294,36.086,30.016,29.171,27.623,25.702,24.302
1999-03-01,26.645,44.004,42.258,42.548,43.134,32.535,30.102,30.454,26.88,26.035,23.672
1999-03-02,26.085,45.179,45.077,45.923,40.043,32.345,31.258,29.352,26.988,25.313,23.208
1999-03-03,26.272,48.909,48.86,49.079,35.188,32.266,32.64,28.351,27.296,24.523,22.058
1999-03-04,26.733,51.892,52.614,44.337,34.703,33.492,31.148,28.376,26.368,23.936,20.823
1999-03-05,27.205,56.114,56.056,38.456,34.391,34.988,29.804,28.646,25.373,22.558,20.719
1999-03-08,27.918,60.23,48.608,37.463,35.714,32.959,29.727,27.452,24.631,21.334,21.144
1999-03-09,28.412,63.904,42.119,36.756,37.366,31.154,29.954,26.194,22.968,21.381,21.538
1999-03-10,28.335,51.861,40.331,38.178,34.594,30.951,28.416,25.257,21.794,22.006,23.078
1999-03-11,28.346,45.35,39.033,40.013,32.169,31.134,26.825,23.234,22.055,22.583,24.574
1999-03-12,28.126,42.501,40.633,36.144,31.833,29.148,25.648,22.171,22.946,24.406,25.963
1999-03-15,29.125,40.493,42.764,32.827,31.997,27.129,23.174,22.736,23.762,26.16,26.008
1999-03-16,29.685,42.624,37.243,32.353,29.426,25.659,22.334,23.981,25.933,27.78,25.357
1999-03-17,29.344,45.407,32.642,32.545,26.859,23.008,23.344,25.113,28.001,27.809,24.054
1999-03-18,30.277,37.296,32.116,29.167,25.04,22.536,25.078,27.713,29.896,27.027,23.611
1999-03-19,30.058,30.806,32.498,25.862,22.574,24.169,26.639,30.162,29.885,25.496,23.725
1999-03-22,30.343,30.584,27.986,23.62,22.717,26.553,29.782,32.388,28.921,24.964,24.119
1999-03-23,29.246,31.602,23.675,21.66,25.244,28.672,32.701,32.293,27.089,25.071,24.601
1999-03-24,30.069,25.4,20.954,22.844,28.51,32.475,35.328,31.068,26.435,25.495,25.333
