Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-01-08,26.316,-59
1999-01-11,25.899,74.774,167.076
1999-01-12,24.966,152.717,144.977,78.762
1999-01-13,25.251,125.246,67.637,41.661,70.849
1999-01-14,24.889,56.622,30.553,66.552,122.605,110.773
1999-01-15,26.294,8.536,60.56,129.809,114.194,110.597,100.934
1999-01-19,27.325,45.847,140.972,112.901,109.18,99.187,81.459,32.178
1999-01-20,28.554,130.832,105.641,102.26,93.083,76.514,22.453,6.132,-64.233
1999-01-21,27.797,91.676,88.108,82.613,69.045,17.862,2.052,-65.206,-93.161,-25.592
1999-01-22,27.435,77.598,76.427,64.494,6.831,-11.337,-83.08,-105.819,-33.746,-55.896,-64.143
1999-01-25,28.423,83.584,65.066,-25.506,-48.276,-131.307,-140.504,-52.203,-73.259,-78.73,-58.084
1999-01-26,30.124,57.91,-93.13,-107.059,-182.305,-170.416,-66.645,-85.745,-87.333,-64.314,-94.591
1999-01-27,29.608,-117.162,-111.111,-164.698,-152.541,-59.564,-77.782,-80.325,-59.023,-89.243,-111.994
1999-01-28,30.552,-100.743,-143.762,-136.637,-51.956,-69.667,-73.521,-53.494,-84.78,-109.097,-164.188
1999-01-29,30.727,-132.841,-123.704,-41.205,-61.188,-67.215,-47.371,-82.533,-110.638,-169.295,-185.066
1999-02-01,30.365,-107.499,-26.678,-52.081,-61.817,-40.12,-83.88,-116.229,-186.387,-187.915,-145.879
1999-02-02,29.432,-3.119,-40.319,-55.378,-27.507,-89.002,-135.535,-198.901,-190.605,-145.075,-120.854
1999-02-03,29.29,-22.487,-46.07,-10.537,-98.804,-140.801,-200.138,-190.25,-138.847,-114.954,-39.949
1999-02-04,27.929,-24.254,29.825,-93.761,-143.246,-205.204,-184.513,-131.581,-108.693,-31.942,-17.531
1999-02-05,28.093,28.652,-81.312,-128.863,-193.345,-170.108,-122.192,-100.129,-25.904,-11.876,-44.345
1999-02-08,29.015,-129.757,-146.21,-177.024,-152.078,-110.935,-91.291,-21.74,-8.446,-40.13,-57.035
1999-02-09,28.104,-132.583,-160.799,-141.781,-99.795,-83.128,-12.632,1.185,-33.121,-51.688,-41.965
1999-02-10,28.203,-141.93,-126.092,-88.615,-74.995,-3.025,11.329,-25.313,-45.872,-35.805,-51.411
1999-02-11,28.576,-108.416,-77.672,-67.14,8.78,23.277,-15.753,-38.568,-28.383,-46.443,-60.808
1999-02-12,27.698,-68.642,-61.046,31.312,44.879,0.097,-27.982,-16.52,-39.388,-57.623,-8.618
1999-02-16,27.435,-52.553,66.239,72.914,19.383,-14.024,-0.853,-29.973,-53.434,7.515,92.589
1999-02-17,26.338,124.84,106.623,41.067,2.742,17.823,-16.916,-45.147,25.83,120.151,179.532
1999-02-18,25.591,94.625,36.704,3.356,16.612,-14.568,-40.587,24.931,111.031,167.596,205.816
1999-02-19,25.943,23.474,-11.775,2.88,-30.303,-56.155,14.881,109.5,163.956,202.47,145.161
1999-02-22,26.129,-35.22,-17.293,-51.085,-75.209,2.036,103.722,161.73,198.91,141.863,130.81
1999-02-23,27.292,-62.621,-92.72,-105.273,-18.315,97.706,160.227,199.253,139.215,126.711,83.171
1999-02-24,26.842,-83.333,-102.804,-5.563,111.968,160.801,184.78,127.898,117.492,77.069,111.6
1999-02-25,26.952,-120.921,40.113,178.58,184.159,181.964,121.061,108.804,71.121,103.963,139.908
1999-02-26,26.36,74.51,186.706,164.189,163.553,110.358,99.576,64.779,97.701,134.48,118.693
1999-03-01,26.645,163.914,143.241,148.748,100.393,90.941,58.1,92.697,131.982,115.366,128.546
1999-03-02,26.085,121.522,133.785,88.783,82.404,51.33,88.172,129.492,112.882,128.138,126.705
1999-03-03,26.272,119.84,77.923,75.078,43.807,86.154,130.752,114.43,130.322,128.088,126.291
1999-03-04,26.733,69.265,69.265,32.191,86.101,144.545,121.189,137.31,129.365,125.104,65.401
1999-03-05,27.205,59.05,12.097,93.808,165.763,130.009,138.579,127.196,121.467,58.684,51.993
1999-03-08,27.918,-29.491,106.783,186.234,126.146,134.189,121.348,118.073,51.825,45.595,151.888
1999-03-09,28.412,119.308,178.718,116.667,124.276,115.003,114.374,44.993,39.154,157.784,144.37
1999-03-10,28.335,151.469,100,111.063,105.563,107.62,39.145,33.766,158.9,141.889,160.611
1999-03-11,28.346,83.333,100,98.838,104.419,31.945,26.714,161.683,141.091,158.361,166.191
1999-03-12,28.126,89.971,94.282,104.91,22.8,17.099,166.021,137.751,155.796,163.154,104.421
1999-03-15,29.125,102.629,101.842,-1.17,-8.081,172.65,139.132,157.084,161.68,99.823,102.715
1999-03-16,29.685,105.93,-36.98,-42.033,176.368,136.962,152.778,156.966,93.739,98.505,132.498
1999-03-17,29.344,-58.359,-57.123,165.362,126.893,144.911,148.289,87.218,93.568,129.924,111.71
1999-03-18,30.277,-83.982,158.846,116.667,134.633,141.069,81.058,89.41,128.97,108.244,76.789
1999-03-19,30.058,136.392,103.903,121.841,132.274,74.648,84.938,124.634,103.586,72.399,71.482
