Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-01-11,25.899,13.841
1999-01-12,24.966,9.627,19.859
1999-01-13,25.251,20.847,23.536,19.171
1999-01-14,24.889,25.03,19.51,15.416,14.026
1999-01-15,26.294,19.98,15.159,13.554,12.609,12.316
1999-01-19,27.325,14.77,13.058,12.005,11.565,11.198,17.824
1999-01-20,28.554,12.35,11.332,10.872,10.381,17.905,17.098,24.888
1999-01-21,27.797,10.4,10.082,9.597,18.043,17.089,25.679,28.169,25.257
1999-01-22,27.435,9.009,8.694,18.476,17.108,26.596,29.196,25.926,25.396,24.41
1999-01-25,28.423,7.498,19.25,17.359,27.778,30.385,26.641,26.011,24.956,23.339,25.063
1999-01-26,30.124,20.542,17.845,29.456,31.876,27.435,26.657,25.48,23.765,25.481,26.498
1999-01-27,29.608,18.645,31.796,33.873,28.395,27.356,26.015,24.149,26.056,27.004,31.084
1999-01-28,30.552,35.105,36.527,29.649,28.176,26.574,24.515,26.617,27.671,31.904,33.589
1999-01-29,30.727,40.08,31.21,29.206,27.203,24.863,27.197,28.341,32.922,34.53,32.218
1999-02-01,30.365,33.065,30.413,27.96,25.22,27.811,29.049,33.998,35.669,33.007,31.777
1999-02-02,29.432,31.709,28.777,25.611,28.504,29.816,35.188,36.879,33.958,32.487,29.221
1999-02-03,29.29,29.506,25.921,29.324,30.696,36.534,38.215,34.944,33.336,29.662,26.95
1999-02-04,27.929,25.926,30.229,31.742,38.124,39.718,36.002,34.196,30.183,27.173,29.367
1999-02-05,28.093,31.15,32.941,40.05,41.468,37.153,35.098,30.656,27.43,29.776,28.077
1999-02-08,29.015,34.277,42.39,43.542,38.44,36.048,31.085,27.599,30.249,28.356,26.983
1999-02-09,28.104,45.274,45.996,39.886,37.068,31.45,27.668,30.678,28.673,27.156,27.135
1999-02-10,28.203,48.91,41.455,38.148,31.721,27.599,31.067,28.919,27.346,27.306,26.591
1999-02-11,28.576,43.055,39.201,31.822,27.339,31.404,29.09,27.443,27.491,26.706,24.742
1999-02-12,27.698,40.052,31.565,26.784,31.673,29.16,27.438,27.593,26.825,24.69,23.709
1999-02-16,27.435,30.618,25.719,31.836,29.096,27.295,27.604,26.852,24.611,23.569,22.329
1999-02-17,26.338,23.803,31.802,28.835,26.967,27.5,26.78,24.412,23.386,22.076,20.601
1999-02-18,25.591,31.474,28.248,26.373,27.25,26.58,24.075,23.071,21.762,20.219,20.435
1999-02-19,25.943,27.171,25.361,26.805,26.222,23.564,22.601,21.301,19.759,20.057,18.953
1999-02-22,26.129,23.724,26.081,25.654,22.83,21.935,20.667,19.14,19.607,18.475,20.832
1999-02-23,27.292,25.014,24.798,21.807,21.023,19.817,18.334,19.01,17.914,20.558,18.607
1999-02-24,26.842,23.596,20.391,19.794,18.698,17.301,18.243,17.198,20.244,18.182,17.206
1999-02-25,26.952,18.481,18.142,17.241,15.993,17.277,16.308,19.838,17.699,16.703,16.578
1999-02-26,26.36,15.966,15.349,14.351,16.079,15.215,19.342,17.109,16.133,16.042,15.164
1999-03-01,26.645,12.939,12.306,14.617,13.89,18.76,16.408,15.454,15.437,14.561,14.288
1999-03-02,26.085,9.824,12.869,12.312,18.111,15.595,14.659,14.721,13.886,13.651,13.546
1999-03-03,26.272,10.881,10.47,17.444,14.677,13.748,13.891,13.102,12.941,12.881,19.802
1999-03-04,26.733,8.417,16.859,13.682,12.726,12.942,12.204,12.123,12.145,19.717,21.599
1999-03-05,27.205,16.586,12.66,11.614,11.882,11.192,11.197,11.304,19.663,21.661,19.261
1999-03-08,27.918,11.724,10.45,10.729,10.072,10.161,10.359,19.636,21.773,19.145,18.151
1999-03-09,28.412,9.309,9.518,8.862,9.024,9.31,19.675,21.936,19.046,17.959,16.098
1999-03-10,28.335,8.309,7.591,7.805,8.167,19.835,22.187,18.958,17.771,15.783,15.598
1999-03-11,28.346,6.302,6.533,6.952,20.201,22.58,18.903,17.58,15.454,15.256,20.886
1999-03-12,28.126,5.246,5.693,20.908,23.191,18.909,17.401,15.1,14.896,20.962,19.309
1999-03-15,29.125,4.428,22.171,24.128,19.012,17.252,14.729,14.508,21.085,19.269,18.247
1999-03-16,29.685,24.353,25.549,19.257,17.158,14.348,14.097,21.259,19.253,18.132,17.207
1999-03-17,29.344,27.676,19.685,17.138,13.961,13.667,21.512,19.262,18.029,17.022,20.399
1999-03-18,30.277,20.31,17.198,13.562,13.22,21.877,19.311,17.934,16.837,20.464,19.262
1999-03-19,30.058,17.291,13.116,12.746,22.403,19.421,17.857,16.646,20.567,19.239,18.344
1999-03-22,30.343,12.515,12.201,23.15,19.613,17.809,16.453,20.714,19.237,18.253,20.967
1999-03-23,29.246,11.472,24.209,19.91,17.799,16.261,20.924,19.257,18.173,21.08,24.15
1999-03-24,30.069,25.72,20.329,17.825,16.066,21.221,19.308,18.098,21.234,24.484,28.696
1999-03-25,31.594,20.875,17.868,15.849,21.635,19.401,18.034,21.436,24.891,29.304,29.278
1999-03-26,31.276,17.862,15.561,22.205,19.546,17.984,21.703,25.384,30.018,29.844,27.279
1999-03-29,32.439,15.086,22.984,19.747,17.943,22.057,25.991,30.856,30.493,27.67,33.796
1999-03-30,32.659,24.065,19.998,17.898,22.524,26.748,31.854,31.238,28.112,34.527,31.926
1999-03-31,31.473,20.271,17.809,23.141,27.701,33.057,32.101,28.609,35.347,32.481,29.994
1999-04-01,32.549,17.59,23.957,28.918,34.524,33.108,29.168,36.27,33.093,30.389,28.09
1999-04-05,33.339,25.065,30.498,36.336,34.285,29.795,37.316,33.766,30.813,28.333,25.91
1999-04-06,33.032,32.608,38.608,35.662,30.488,38.508,34.507,31.264,28.58,25.988,24.412
1999-04-07,32.768,41.508,37.266,31.232,39.872,35.32,31.737,28.82,26.045,24.383,27.562
1999-04-08,33.207,39.102,31.978,41.438,36.204,32.221,29.042,26.063,24.317,27.748,29.261
1999-04-09,33.098,32.605,43.238,37.143,32.692,29.221,26.022,24.193,27.934,29.541,29.931
1999-04-12,32.659,45.312,38.1,33.102,29.313,25.884,23.986,28.114,29.838,30.238,28.738
