Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-01-11,25.899,40.592
1999-01-12,24.966,51.774,42.64
1999-01-13,25.251,44.078,37.465,37.888
1999-01-14,24.889,37.787,38.512,47.201,45.527
1999-01-15,26.294,38.957,48.978,46.967,40.928,38.883
1999-01-19,27.325,51.077,48.463,41.599,39.61,36.792,32.434
1999-01-20,28.554,50.124,42.057,40.032,37.178,32.465,30.362,26.398
1999-01-21,27.797,42.208,40.175,37.198,32.253,30.153,25.863,23.879,28.035
1999-01-22,27.435,39.908,36.828,31.565,29.653,25.203,23.154,27.614,25.481,24.371
1999-01-25,28.423,35.873,30.298,28.633,24.188,22.279,27.322,24.872,23.558,23.302,22.2
1999-01-26,30.124,28.168,26.972,22.624,21.039,26.989,24.343,22.825,22.433,21.396,20.825
1999-01-27,29.608,24.376,20.389,19.271,26.472,23.728,22.14,21.632,20.438,19.964,18.978
1999-01-28,30.552,17.256,16.876,25.696,22.878,21.344,20.863,19.528,18.95,18.054,17.395
1999-01-29,30.727,13.702,24.723,21.719,20.292,19.97,18.625,17.971,16.982,16.431,16.684
1999-02-01,30.365,23.694,20.268,18.914,18.813,17.583,16.986,15.933,15.326,15.706,15.839
1999-02-02,29.432,18.578,17.211,17.325,16.271,15.856,14.866,14.239,14.591,14.845,22.388
1999-02-03,29.29,15.207,15.503,14.635,14.463,13.656,13.129,13.492,13.719,22.01,25.047
1999-02-04,27.929,13.362,12.673,12.764,12.203,11.886,12.369,12.608,21.619,24.913,23.807
1999-02-05,28.093,10.404,10.765,10.483,10.427,11.119,11.473,21.372,24.809,23.578,22.636
1999-02-08,29.015,8.5,8.519,8.744,9.666,10.217,21.278,24.885,23.362,22.322,21.833
1999-02-09,28.104,6.373,6.877,8.01,8.776,21.318,25.162,23.294,22.005,21.463,20.048
1999-02-10,28.203,4.909,6.198,7.158,21.538,25.639,23.383,21.807,21.081,19.56,19.109
1999-02-11,28.576,4.321,5.418,22.096,26.382,23.613,21.728,20.799,19.04,18.565,21.42
1999-02-12,27.698,3.657,23.305,27.56,24.021,21.74,20.611,18.585,17.981,21.115,23.03
1999-02-16,27.435,25.701,29.472,24.717,21.853,20.48,18.176,17.446,20.816,22.88,26.917
1999-02-17,26.338,32.58,25.89,22.134,20.403,17.766,16.937,20.616,22.765,27.121,32.257
1999-02-18,25.591,27.769,22.681,20.419,17.327,16.402,20.511,22.779,27.421,32.908,30.779
1999-02-19,25.943,23.553,20.572,16.855,15.808,20.48,22.93,27.922,33.726,31.267,31.396
1999-02-22,26.129,20.824,16.322,15.137,20.531,23.211,28.653,34.821,31.882,31.899,28.848
1999-02-23,27.292,15.581,14.34,20.713,23.655,29.643,36.246,32.718,32.522,29.088,30.04
1999-02-24,26.842,13.254,21.09,24.34,30.973,38.057,33.804,33.344,29.39,30.349,33.015
1999-02-25,26.952,21.724,25.382,32.786,40.371,35.164,34.385,29.81,30.723,33.54,31.81
1999-02-26,26.36,26.933,35.303,43.369,36.859,35.656,30.341,31.212,34.159,32.213,33.278
1999-03-01,26.645,38.854,47.32,38.978,37.19,30.955,31.806,34.922,32.685,33.764,33.479
