Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-01-08,26.316,0
1999-01-11,25.899,40,0
1999-01-12,24.966,20,33.333,0
1999-01-13,25.251,20,33.333,42.857,0
1999-01-14,24.889,20,16.667,28.571,37.5,0
1999-01-15,26.294,40,33.333,28.571,37.5,44.444,0
1999-01-19,27.325,60,50,42.857,37.5,44.444,50,0
1999-01-20,28.554,80,66.667,57.143,50,44.444,50,54.545,0
1999-01-21,27.797,60,66.667,57.143,50,44.444,40,45.455,50,0
1999-01-22,27.435,60,50,57.143,50,44.444,40,36.364,41.667,46.154,0
1999-01-25,28.423,60,66.667,57.143,62.5,55.556,50,45.455,41.667,46.154,50
1999-01-26,30.124,60,66.667,71.429,62.5,66.667,60,54.545,50,46.154,50
1999-01-27,29.608,40,50,57.143,62.5,55.556,60,54.545,50,46.154,42.857
1999-01-28,30.552,60,50,57.143,62.5,66.667,60,63.636,58.333,53.846,50
1999-01-29,30.727,80,66.667,57.143,62.5,66.667,70,63.636,66.667,61.538,57.143
1999-02-01,30.365,60,66.667,57.143,50,55.556,60,63.636,58.333,61.538,57.143
1999-02-02,29.432,40,50,57.143,50,44.444,50,54.545,58.333,53.846,57.143
1999-02-03,29.29,40,33.333,42.857,50,44.444,40,45.455,50,53.846,50
1999-02-04,27.929,20,33.333,28.571,37.5,44.444,40,36.364,41.667,46.154,50
1999-02-05,28.093,20,33.333,42.857,37.5,44.444,50,45.455,41.667,46.154,50
1999-02-08,29.015,40,33.333,42.857,50,44.444,50,54.545,50,46.154,50
1999-02-09,28.104,40,33.333,28.571,37.5,44.444,40,45.455,50,46.154,42.857
1999-02-10,28.203,60,50,42.857,37.5,44.444,50,45.455,50,53.846,50
1999-02-11,28.576,80,66.667,57.143,50,44.444,50,54.545,50,53.846,57.143
1999-02-12,27.698,60,66.667,57.143,50,44.444,40,45.455,50,46.154,50
1999-02-16,27.435,40,50,57.143,50,44.444,40,36.364,41.667,46.154,42.857
1999-02-17,26.338,40,33.333,42.857,50,44.444,40,36.364,33.333,38.462,42.857
1999-02-18,25.591,20,33.333,28.571,37.5,44.444,40,36.364,33.333,30.769,35.714
1999-02-19,25.943,20,33.333,42.857,37.5,44.444,50,45.455,41.667,38.462,35.714
1999-02-22,26.129,40,33.333,42.857,50,44.444,50,54.545,50,46.154,42.857
1999-02-23,27.292,60,50,42.857,50,55.556,50,54.545,58.333,53.846,50
1999-02-24,26.842,60,50,42.857,37.5,44.444,50,45.455,50,53.846,50
1999-02-25,26.952,80,66.667,57.143,50,44.444,50,54.545,50,53.846,57.143
1999-02-26,26.36,60,66.667,57.143,50,44.444,40,45.455,50,46.154,50
1999-03-01,26.645,60,66.667,71.429,62.5,55.556,50,45.455,50,53.846,50
1999-03-02,26.085,40,50,57.143,62.5,55.556,50,45.455,41.667,46.154,50
1999-03-03,26.272,60,50,57.143,62.5,66.667,60,54.545,50,46.154,50
1999-03-04,26.733,60,66.667,57.143,62.5,66.667,70,63.636,58.333,53.846,50
1999-03-05,27.205,80,66.667,71.429,62.5,66.667,70,72.727,66.667,61.538,57.143
1999-03-08,27.918,80,83.333,71.429,75,66.667,70,72.727,75,69.231,64.286
1999-03-09,28.412,100,83.333,85.714,75,77.778,70,72.727,75,76.923,71.429
1999-03-10,28.335,80,83.333,71.429,75,66.667,70,63.636,66.667,69.231,71.429
1999-03-11,28.346,80,83.333,85.714,75,77.778,70,72.727,66.667,69.231,71.429
1999-03-12,28.126,60,66.667,71.429,75,66.667,70,63.636,66.667,61.538,64.286
1999-03-15,29.125,60,66.667,71.429,75,77.778,70,72.727,66.667,69.231,64.286
1999-03-16,29.685,60,66.667,71.429,75,77.778,80,72.727,75,69.231,71.429
1999-03-17,29.344,60,50,57.143,62.5,66.667,70,72.727,66.667,69.231,64.286
1999-03-18,30.277,60,66.667,57.143,62.5,66.667,70,72.727,75,69.231,71.429
1999-03-19,30.058,60,50,57.143,50,55.556,60,63.636,66.667,69.231,64.286
1999-03-22,30.343,60,66.667,57.143,62.5,55.556,60,63.636,66.667,69.231,71.429
1999-03-23,29.246,40,50,57.143,50,55.556,50,54.545,58.333,61.538,64.286
1999-03-24,30.069,60,50,57.143,62.5,55.556,60,54.545,58.333,61.538,64.286
1999-03-25,31.594,60,66.667,57.143,62.5,66.667,60,63.636,58.333,61.538,64.286
1999-03-26,31.276,60,50,57.143,50,55.556,60,54.545,58.333,53.846,57.143
1999-03-29,32.439,60,66.667,57.143,62.5,55.556,60,63.636,58.333,61.538,57.143
1999-03-30,32.659,80,66.667,71.429,62.5,66.667,60,63.636,66.667,61.538,64.286
1999-03-31,31.473,60,66.667,57.143,62.5,55.556,60,54.545,58.333,61.538,57.143
1999-04-01,32.549,60,66.667,71.429,62.5,66.667,60,63.636,58.333,61.538,64.286
1999-04-05,33.339,80,66.667,71.429,75,66.667,70,63.636,66.667,61.538,64.286
1999-04-06,33.032,60,66.667,57.143,62.5,66.667,60,63.636,58.333,61.538,57.143
1999-04-07,32.768,40,50,57.143,50,55.556,60,54.545,58.333,53.846,57.143
1999-04-08,33.207,60,50,57.143,62.5,55.556,60,63.636,58.333,61.538,57.143
1999-04-09,33.098,40,50,42.857,50,55.556,50,54.545,58.333,53.846,57.143
1999-04-12,32.659,20,33.333,42.857,37.5,44.444,50,45.455,50,53.846,50
1999-04-13,31.649,20,16.667,28.571,37.5,33.333,40,45.455,41.667,46.154,50
1999-04-14,30.157,20,16.667,14.286,25,33.333,30,36.364,41.667,38.462,42.857
1999-04-15,31.21,20,33.333,28.571,25,33.333,40,36.364,41.667,46.154,42.857
1999-04-16,30.42,20,16.667,28.571,25,22.222,30,36.364,33.333,38.462,42.857
1999-04-19,28.445,20,16.667,14.286,25,22.222,20,27.273,33.333,30.769,35.714
1999-04-20,29.191,40,33.333,28.571,25,33.333,30,27.273,33.333,38.462,35.714
1999-04-21,28.796,40,33.333,28.571,25,22.222,30,27.273,25,30.769,35.714
1999-04-22,29.827,40,50,42.857,37.5,33.333,30,36.364,33.333,30.769,35.714
1999-04-23,30.2,60,50,57.143,50,44.444,40,36.364,41.667,38.462,35.714
1999-04-26,30.903,80,66.667,57.143,62.5,55.556,50,45.455,41.667,46.154,42.857
1999-04-27,29.498,60,66.667,57.143,50,55.556,50,45.455,41.667,38.462,42.857
1999-04-28,28.84,60,50,57.143,50,44.444,50,45.455,41.667,38.462,35.714
1999-04-29,28.818,40,50,42.857,50,44.444,40,45.455,41.667,38.462,35.714
1999-04-30,28.554,20,33.333,42.857,37.5,44.444,40,36.364,41.667,38.462,35.714
