Date,Close,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14,wsize_15,wsize_16,wsize_17
1999-01-13,25.251,0
1999-01-14,24.889,34.848,0
1999-01-15,26.294,83.333,83.333,0
1999-01-19,27.325,87.709,87.709,87.709,0
1999-01-20,28.554,83.858,83.858,83.858,83.858,0
1999-01-21,27.797,70.276,70.276,70.276,70.276,70.276,0
1999-01-22,27.435,63.78,63.78,63.78,63.78,63.78,63.78,0
1999-01-25,28.423,81.496,81.496,81.496,81.496,81.496,81.496,81.496,0
1999-01-26,30.124,99.383,99.475,99.475,99.475,99.475,99.475,99.475,99.475,0
1999-01-27,29.608,82.42,82.42,84.878,84.878,84.878,84.878,84.878,84.878,84.878,0
1999-01-28,30.552,98.143,98.677,98.677,98.862,98.862,98.862,98.862,98.862,98.862,98.862
1999-01-29,30.727,99.371,99.485,99.63,99.63,99.681,99.681,99.681,99.681,99.681,99.681
1999-02-01,30.365,85.498,85.498,88.03,91.32,91.32,92.488,92.488,92.488,92.488,92.488
1999-02-02,29.432,59.819,59.819,59.819,66.833,75.949,75.949,79.186,79.186,79.186,79.186
1999-02-03,29.29,45.725,55.891,55.891,55.891,63.591,73.598,73.598,77.152,77.152,77.152
1999-02-04,27.929,1.099,1.099,18.429,18.429,18.429,32.668,51.175,51.175,57.746,57.746
1999-02-05,28.093,24.332,24.332,24.332,24.332,24.332,24.332,36.409,53.888,53.888,60.094
1999-02-08,29.015,49.258,49.258,49.258,49.258,49.258,49.258,49.258,57.357,69.078,69.078
1999-02-09,28.104,24.629,24.629,24.629,24.629,24.629,24.629,24.629,24.629,36.658,54.069
1999-02-10,28.203,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,38.903
1999-02-11,28.576,44.523,37.389,37.389,37.389,37.389,37.389,37.389,37.389,37.389,37.389
1999-02-12,27.698,19.167,16.254,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65
1999-02-16,27.435,12.217,11.02,9.375,7.895,7.895,7.895,7.895,7.895,7.895,7.895
1999-02-17,26.338,8.219,7.547,7.018,6.234,5.467,5.467,5.467,5.467,5.467,5.467
1999-02-18,25.591,7.756,7.756,7.239,6.82,6.178,5.526,5.526,5.526,5.526,5.526
1999-02-19,25.943,16.541,16.541,16.541,15.439,14.544,13.177,11.785,11.785,11.785,11.785
1999-02-22,26.129,23.678,21.208,21.208,21.208,19.795,18.648,16.894,15.11,15.11,15.11
1999-02-23,27.292,57.581,56.169,50.309,50.309,50.309,46.957,44.237,40.077,35.844,35.844
1999-02-24,26.842,45.123,44.698,43.602,39.053,39.053,39.053,36.451,34.339,31.11,27.824
1999-02-25,26.952,59.882,48.295,47.84,46.667,41.798,41.798,41.798,39.014,36.753,33.297
1999-02-26,26.36,39.899,38.643,31.166,30.872,30.115,26.973,26.973,26.973,25.176,23.718
1999-03-01,26.645,50.457,50.457,48.869,39.413,39.042,38.084,34.111,34.111,34.111,31.839
1999-03-02,26.085,26.068,29.746,29.746,28.81,23.235,23.016,22.452,20.11,20.11,20.11
1999-03-03,26.272,33.333,33.333,36.65,36.65,35.497,28.628,28.358,27.663,24.777,24.777
1999-03-04,26.733,42.132,51.282,51.282,53.706,53.706,52.016,41.951,41.555,40.536,36.308
1999-03-05,27.205,63.96,63.96,69.658,69.658,71.168,71.168,68.928,55.591,55.067,53.717
1999-03-08,27.918,98.075,96.954,96.954,97.436,97.436,97.563,97.563,94.494,76.209,75.491
1999-03-09,28.412,83.392,83.392,83.392,83.392,85.312,85.312,85.854,85.854,85.854,85.854
1999-03-10,28.335,80.919,80.919,80.919,80.919,80.919,83.125,83.125,83.747,83.747,83.747
1999-03-11,28.346,81.272,81.272,81.272,81.272,81.272,81.272,83.438,83.438,84.048,84.048
1999-03-12,28.126,74.205,74.205,74.205,74.205,74.205,74.205,74.205,77.188,77.188,78.029
1999-03-15,29.125,99.301,99.34,99.34,99.34,99.34,99.34,99.34,99.34,99.412,99.412
1999-03-16,29.685,94.444,95.714,95.913,95.913,95.913,95.913,95.913,95.913,95.913,96.287
1999-03-17,29.344,80.833,82.963,86.857,87.466,87.466,87.466,87.466,87.466,87.466,87.466
1999-03-18,30.277,99.207,99.288,99.357,99.489,99.51,99.51,99.51,99.51,99.51,99.51
1999-03-19,30.058,83.033,83.033,84.641,86.012,88.702,89.146,89.146,89.146,89.146,89.146
1999-03-22,30.343,88.276,88.276,88.276,89.342,90.258,92.074,92.377,92.377,92.377,92.377
1999-03-23,29.246,53.793,53.793,53.793,53.793,57.994,61.604,68.764,69.955,69.955,69.955
1999-03-24,30.069,78.388,79.655,79.655,79.655,79.655,81.505,83.094,86.247,86.771,86.771
1999-03-25,31.594,99.262,99.437,99.462,99.462,99.462,99.462,99.501,99.536,99.609,99.621
1999-03-26,31.276,86.957,86.957,90,90.451,90.451,90.451,90.451,91.133,91.743,93.023
1999-03-29,32.439,97.74,97.74,97.74,98.174,98.242,98.242,98.242,98.242,98.347,98.444
1999-03-30,32.659,95.812,95.812,95.812,95.812,96.567,96.687,96.687,96.687,96.687,96.875
1999-03-31,31.473,61.722,61.722,61.722,61.722,61.722,68.127,69.171,69.171,69.171,69.171
1999-04-01,32.549,85.167,85.167,85.167,85.167,85.167,85.167,87.649,88.054,88.054,88.054
1999-04-05,33.339,99.419,99.419,99.419,99.419,99.419,99.419,99.419,99.514,99.53,99.53
1999-04-06,33.032,83.333,88.889,88.889,88.889,88.889,88.889,88.889,88.889,90.637,90.926
1999-04-07,32.768,70.161,75.333,83.556,83.556,83.556,83.556,83.556,83.556,83.556,86.142
1999-04-08,33.207,86.29,86.29,88.667,92.444,92.444,92.444,92.444,92.444,92.444,92.444
1999-04-09,33.098,78.846,82.258,82.258,85.333,90.222,90.222,90.222,90.222,90.222,90.222
1999-04-12,32.659,59.615,59.615,66.129,66.129,72,81.333,81.333,81.333,81.333,81.333
1999-04-13,31.649,14.563,15.385,15.385,29.032,29.032,41.333,60.889,60.889,60.889,60.889
1999-04-14,30.157,-0,-0,-0,-0,-0,-0,-0,30.667,30.667,30.667
1999-04-15,31.21,42.553,42.553,42.553,42.553,42.553,42.553,42.553,42.553,52,52
1999-04-16,30.42,24.719,23.404,23.404,23.404,23.404,23.404,23.404,23.404,23.404,36
1999-04-19,28.445,4.274,4.274,4.098,4.098,4.098,4.098,4.098,4.098,4.098,4.098
1999-04-20,29.191,20.833,20.833,20.833,20,20,20,20,20,20,20
1999-04-21,28.796,14.679,13.333,13.333,13.333,12.8,12.8,12.8,12.8,12.8,12.8
1999-04-22,29.827,37.619,36.239,32.917,32.917,32.917,31.6,31.6,31.6,31.6,31.6
1999-04-23,30.2,53.933,45.714,44.037,40,40,40,38.4,38.4,38.4,38.4
1999-04-26,30.903,81.013,71.91,60.952,58.716,53.333,53.333,53.333,51.2,51.2,51.2
1999-04-27,29.498,43.836,40.506,35.955,30.476,29.358,26.667,26.667,26.667,25.6,25.6
1999-04-28,28.84,23.776,23.288,21.519,19.101,16.19,15.596,14.167,14.167,14.167,13.6
1999-04-29,28.818,23.077,23.077,22.603,20.886,18.539,15.714,15.138,13.75,13.75,13.75
1999-04-30,28.554,15.862,15.862,15.862,15.541,14.375,12.778,10.849,10.455,9.504,9.504
1999-05-03,28.05,12.651,12.651,12.651,12.651,12.426,11.602,10.448,9.013,8.714,7.985
1999-05-04,27.413,2.793,2.793,2.793,2.793,2.793,2.747,2.577,2.336,2.033,1.969
1999-05-05,27.786,21.5,21.5,21.5,21.5,21.5,21.5,21.182,20,18.298,16.105
1999-05-06,27.369,12.183,12,12,12,12,12,12,11.823,11.163,10.213
1999-05-07,27.764,26.087,21.32,21,21,21,21,21,21,20.69,19.535
1999-05-10,27.984,44.444,32.298,26.396,26,26,26,26,26,26,25.616
1999-05-11,28.05,47.009,47.009,34.161,27.919,27.5,27.5,27.5,27.5,27.5,27.5
1999-05-12,28.269,75.581,55.556,55.556,40.373,32.995,32.5,32.5,32.5,32.5,32.5
1999-05-13,27.786,50,50,36.752,36.752,26.708,21.827,21.5,21.5,21.5,21.5
1999-05-14,26.996,8.235,8.14,8.14,5.983,5.983,4.348,3.553,3.5,3.5,3.5
1999-05-17,27.786,48.78,50.588,50,50,36.752,36.752,26.708,21.827,21.5,21.5
1999-05-18,27.633,40.244,40.244,42.353,41.86,41.86,30.769,30.769,22.36,18.274,18
1999-05-19,27.852,52.439,52.439,52.439,54.118,53.488,53.488,39.316,39.316,28.571,23.35
1999-05-20,27.545,35.366,35.366,35.366,35.366,37.647,37.209,37.209,27.35,27.35,19.876
1999-05-21,27.237,18.293,18.293,18.293,18.293,18.293,21.176,20.93,20.93,15.385,15.385
1999-05-24,27.128,20.879,20.879,20.879,20.879,20.879,20.879,20.879,20.652,20.652,15.447
1999-05-25,26.777,4.478,3.297,3.297,3.297,3.297,3.297,3.297,3.297,3.261,3.261
1999-05-26,27.567,63.158,63.158,48,48,48,48,48,48,48,47.525
1999-05-27,27.523,60.526,60.526,60.526,46,46,46,46,46,46,46
1999-05-28,28.335,96.512,96.512,96.512,96.512,83,83,83,83,83,83
1999-06-01,27.567,55.814,55.814,55.814,55.814,55.814,48,48,48,48,48
1999-06-02,27.545,54.651,54.651,54.651,54.651,54.651,54.651,47,47,47,47
1999-06-03,26.82,16.279,16.279,16.279,16.279,16.279,16.279,16.279,14,14,14
1999-06-04,27.94,75.581,75.581,75.581,75.581,75.581,75.581,75.581,75.581,65,65
1999-06-07,28.181,85.393,85.393,85.393,85.393,85.393,85.393,85.393,85.393,85.393,76
1999-06-08,27.874,54.167,58.491,58.491,58.491,58.491,58.491,58.491,58.491,58.491,58.491
1999-06-09,28.906,95.192,95.192,95.614,95.614,95.614,95.614,95.614,95.614,95.614,95.614
1999-06-10,28.05,57.692,57.692,57.692,61.403,61.403,61.403,61.403,61.403,61.403,61.403
1999-06-11,27.435,30.769,30.769,30.769,30.769,36.842,36.842,36.842,36.842,36.842,36.842
1999-06-14,27.237,22.115,22.115,22.115,22.115,22.115,28.947,28.947,28.947,28.947,28.947
1999-06-15,27.281,16.842,24.038,24.038,24.038,24.038,24.038,30.702,30.702,30.702,30.702
1999-06-16,28.445,72.632,72.632,75,75,75,75,75,77.193,77.193,77.193
1999-06-17,29.103,98.02,98.02,98.02,98.182,98.182,98.182,98.182,98.182,98.333,98.333
1999-06-18,29.849,100,100,100,100,100,100,100,100,100,100
1999-06-21,31.232,99.492,99.492,99.492,99.492,99.492,99.515,99.515,99.515,99.515,99.515
1999-06-22,30.376,79.695,79.695,79.695,79.695,79.695,79.695,80.583,80.583,80.583,80.583
1999-06-23,30.2,75.635,75.635,75.635,75.635,75.635,75.635,75.635,76.699,76.699,76.699
1999-06-24,29.718,64.467,64.467,64.467,64.467,64.467,64.467,64.467,64.467,66.019,66.019
1999-06-25,29.827,59.627,67.005,67.005,67.005,67.005,67.005,67.005,67.005,67.005,68.447
1999-06-28,30.464,73.529,77.64,81.726,81.726,81.726,81.726,81.726,81.726,81.726,81.726
1999-06-29,30.903,85.455,88.235,90.062,91.878,91.878,91.878,91.878,91.878,91.878,91.878
1999-06-30,31.671,99,99.231,99.359,99.448,99.539,99.539,99.539,99.539,99.539,99.539
1999-07-01,32.022,95.833,95.833,96.667,97.159,97.512,97.89,97.89,97.89,97.89,97.89
1999-07-02,32.307,98.462,98.462,98.462,98.75,98.925,99.052,99.19,99.19,99.19,99.19
1999-07-06,31.452,62.238,62.238,62.238,62.238,68.786,72.864,75.893,79.231,79.231,79.231
1999-07-07,32.417,92.701,93.007,93.007,93.007,93.007,94.22,94.975,95.536,96.154,96.154
1999-07-08,32.505,94.574,94.928,95.139,95.139,95.139,95.139,95.977,96.5,96.889,97.318
1999-07-09,32.746,99.145,99.254,99.301,99.329,99.329,99.329,99.329,99.441,99.512,99.565
1999-07-12,33.076,92.969,93.571,94.268,94.578,94.767,94.767,94.767,94.767,95.545,96.053
1999-07-13,32.878,82.353,85.938,87.143,88.535,89.157,89.535,89.535,89.535,89.535,91.089
1999-07-14,33.339,98.913,99.057,99.242,99.306,99.379,99.412,99.432,99.432,99.432,99.432
1999-07-15,33.142,85.417,85.417,87.273,89.706,90.541,91.515,91.954,92.222,92.222,92.222
1999-07-16,34.919,95.625,95.882,95.882,96.196,96.667,96.847,97.071,97.177,97.244,97.244
1999-07-19,34.546,76.398,78.161,79.348,79.348,80.808,83.036,83.898,84.98,85.496,85.821
1999-07-20,32.768,12.5,26.087,31.609,35.326,35.326,39.899,46.875,49.576,52.964,54.58
1999-07-21,33.251,28.148,28.676,39.752,44.253,47.283,47.283,51.01,56.696,58.898,61.66
1999-07-22,31.978,9.884,9.884,9.884,9.884,10.92,15.761,15.761,21.717,30.804,34.322
1999-07-23,31.693,5.085,5.085,5.085,5.085,5.085,5.085,8.696,8.696,15.151,25
1999-07-26,30.771,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
1999-07-27,31.188,9.048,9.048,9.048,9.048,9.048,9.048,9.048,9.048,9.048,9.048
1999-07-28,31.605,18.095,18.095,18.095,18.095,18.095,18.095,18.095,18.095,18.095,18.095
1999-07-29,30.53,5.988,4.329,4.329,4.329,4.329,4.329,4.329,4.329,4.329,4.329
1999-07-30,30.135,3.185,2.778,2.049,2.049,2.049,2.049,2.049,2.049,2.049,2.049
1999-08-02,29.783,4.321,4,3.535,2.672,2.672,2.672,2.672,2.672,2.672,2.672
1999-08-03,29.762,5.085,3.704,3.429,3.03,2.29,2.29,2.29,2.29,2.29,2.29
1999-08-04,29.827,9.184,7.627,5.556,5.143,4.545,3.435,3.435,3.435,3.435,3.435
1999-08-05,30.113,22.449,22.449,18.644,13.58,12.571,11.111,8.397,8.397,8.397,8.397
1999-08-06,29.893,12.245,12.245,12.245,10.169,7.407,6.857,6.061,4.58,4.58,4.58
1999-08-09,29.432,2.439,1.835,1.835,1.835,1.55,1.156,1.075,0.957,0.733,0.733
1999-08-10,29.125,18.75,18.261,14.789,14.789,14.789,12.963,10.194,9.589,8.678,6.863
1999-08-11,29.564,46.067,36.607,35.652,28.873,28.873,28.873,25.309,19.903,18.721,16.942
1999-08-12,28.708,2.247,2.247,1.786,1.739,1.408,1.408,1.408,1.235,0.971,0.913
1999-08-13,29.74,55.056,55.056,55.056,43.75,42.609,34.507,34.507,34.507,30.247,23.786
