Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-01-08,26.316,-65.152
1999-01-11,25.899,-7.95,-12.291
1999-01-12,24.966,-12.291,-16.142,-29.724
1999-01-13,25.251,-16.142,-29.724,-36.22,-18.504
1999-01-14,24.889,-35.782,-43.602,-22.275,-0.617,-17.58
1999-01-15,26.294,-43.602,-22.275,-0.617,-17.58,-1.323,-0.37
1999-01-19,27.325,-34.815,-0.898,-24.668,-1.857,-0.515,-11.97,-33.167
1999-01-20,28.554,-1.136,-30.293,-2.28,-0.629,-14.502,-40.181,-44.109,-81.571
1999-01-21,27.797,-30.293,-2.28,-0.629,-14.502,-40.181,-44.109,-81.571,-75.668,-50.742
1999-01-22,27.435,-2.28,-0.629,-14.502,-40.181,-44.109,-81.571,-75.668,-50.742,-75.371,-72.7
1999-01-25,28.423,-0.781,-17.844,-49.442,-54.275,-98.901,-75.668,-50.742,-75.371,-72.7,-62.611
1999-01-26,30.124,-26.229,-72.678,-79.782,-98.901,-75.668,-50.742,-75.371,-72.7,-62.611,-86.35
1999-01-27,29.608,-85.806,-91.824,-98.901,-75.668,-50.742,-75.371,-72.7,-62.611,-86.35,-92.105
1999-01-28,30.552,-91.824,-98.901,-75.668,-50.742,-75.371,-72.7,-62.611,-86.35,-92.105,-94.533
1999-01-29,30.727,-98.901,-75.668,-50.742,-75.371,-72.7,-62.611,-86.35,-92.105,-94.533,-94.474
1999-02-01,30.365,-75.668,-50.742,-75.371,-72.7,-62.611,-86.35,-92.105,-94.533,-94.474,-88.215
1999-02-02,29.432,-41.343,-70.671,-67.491,-55.477,-83.746,-90.625,-93.766,-93.822,-86.823,-83.106
1999-02-03,29.29,-65.417,-61.667,-47.5,-80.833,-88.98,-92.982,-93.18,-85.456,-81.352,-55.763
1999-02-04,27.929,-57.407,-41.667,-78.704,-87.783,-92.453,-92.761,-84.561,-80.205,-53.043,-63.549
1999-02-05,28.093,-33.684,-75.789,-86.154,-91.781,-92.244,-83.459,-78.792,-49.691,-60.947,-58.202
1999-02-08,29.015,-93.506,-86.154,-91.781,-92.244,-83.459,-78.792,-49.691,-60.947,-58.202,-73.027
1999-02-09,28.104,-86.154,-91.781,-92.244,-83.459,-78.792,-49.691,-60.947,-58.202,-73.027,-65.889
1999-02-10,28.203,-90.551,-91.341,-81.533,-76.322,-43.831,-56.398,-53.333,-69.885,-61.916,-77.548
1999-02-11,28.576,-91.123,-81.068,-75.727,-42.419,-55.302,-52.16,-69.128,-60.958,-76.984,-71.642
1999-02-12,27.698,-80.888,-75.496,-41.871,-54.877,-51.705,-68.834,-60.587,-76.765,-71.372,-58.049
1999-02-16,27.435,-69.617,-27.925,-44.051,-40.118,-61.357,-51.131,-71.19,-64.503,-47.984,-31.072
1999-02-17,26.338,-1.611,-42.233,-38.173,-60.101,-49.543,-70.254,-63.35,-46.294,-28.832,-2.437
1999-02-18,25.591,-42.233,-38.173,-60.101,-49.543,-70.254,-63.35,-46.294,-28.832,-2.437,-14.146
1999-02-19,25.943,-40.171,-63.248,-52.137,-73.932,-66.667,-48.718,-30.342,-2.564,-14.688,-16.875
1999-02-22,26.129,-63.248,-52.137,-73.932,-66.667,-48.718,-30.342,-2.564,-14.688,-16.875,-16.562
1999-02-23,27.292,-77.215,-92.021,-79.188,-57.868,-36.04,-3.046,-16.608,-19.081,-18.728,-25.795
1999-02-24,26.842,-92.021,-79.188,-57.868,-36.04,-3.046,-16.608,-19.081,-18.728,-25.795,-0.66
1999-02-25,26.952,-63.717,-26.549,-5.263,-1.925,-16.608,-19.081,-18.728,-25.795,-0.66,-4.087
1999-02-26,26.36,-26.549,-5.263,-1.925,-16.608,-19.081,-18.728,-25.795,-0.66,-4.087,-12.534
1999-03-01,26.645,-5.263,-1.925,-16.608,-19.081,-18.728,-25.795,-0.66,-4.087,-12.534,-0.49
1999-03-02,26.085,-1.925,-16.608,-19.081,-18.728,-25.795,-0.66,-4.087,-12.534,-0.49,-10.854
1999-03-03,26.272,-16.608,-19.081,-18.728,-25.795,-0.66,-4.087,-12.534,-0.49,-10.854,-7.623
1999-03-04,26.733,-20.301,-19.925,-27.444,-0.699,-4.286,-13.143,-0.511,-11.298,-7.926,-31.236
1999-03-05,27.205,-28.494,-39.247,-0.971,-5.556,-17.037,-0.643,-13.988,-9.742,-38.396,-16.906
1999-03-08,27.918,-46.795,-1.136,-6.25,-19.167,-0.712,-15.359,-10.658,-42.006,-18.495,-0.499
1999-03-09,28.412,-1.361,-7.109,-21.801,-0.793,-16.967,-11.724,-46.207,-20.345,-0.538,-9.549
1999-03-10,28.335,-7.109,-21.801,-0.793,-16.967,-11.724,-46.207,-20.345,-0.538,-9.549,-1.758
1999-03-11,28.346,-21.801,-0.793,-16.967,-11.724,-46.207,-20.345,-0.538,-9.549,-1.758,-3.313
1999-03-12,28.126,-0.793,-16.967,-11.724,-46.207,-20.345,-0.538,-9.549,-1.758,-3.313,-30.829
1999-03-15,29.125,-18.077,-12.454,-49.084,-21.612,-0.563,-10,-1.826,-3.433,-31.873,-12.351
1999-03-16,29.685,-19.883,-78.363,-31.217,-0.738,-13.043,-2.26,-4.188,-38.278,-14.833,-0.581
1999-03-17,29.344,-95.715,-31.217,-0.738,-13.043,-2.26,-4.188,-38.278,-14.833,-0.581,-11.111
1999-03-18,30.277,-31.217,-0.738,-13.043,-2.26,-4.188,-38.278,-14.833,-0.581,-11.111,-16.444
1999-03-19,30.058,-0.738,-13.043,-2.26,-4.188,-38.278,-14.833,-0.581,-11.111,-16.444,-7.556
1999-03-22,30.343,-13.043,-2.26,-4.188,-38.278,-14.833,-0.581,-11.111,-16.444,-7.556,-9.778
