Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
1999-01-08,26.316,0.004
1999-01-11,25.899,-0.011,-0.009
1999-01-12,24.966,-0.032,-0.034,-0.034
1999-01-13,25.251,-0.011,-0.015,-0.017,-0.018
1999-01-14,24.889,-0.014,-0.018,-0.022,-0.025,-0.026
1999-01-15,26.294,0.031,0.03,0.028,0.026,0.024,0.024
1999-01-19,27.325,0.046,0.05,0.052,0.052,0.052,0.052,0.053
1999-01-20,28.554,0.055,0.065,0.071,0.075,0.078,0.08,0.082,0.084
1999-01-21,27.797,0.01,0.019,0.027,0.033,0.037,0.04,0.042,0.044,0.047
1999-01-22,27.435,-0.008,-0.002,0.004,0.011,0.015,0.019,0.022,0.024,0.026,0.028
1999-01-25,28.423,0.016,0.019,0.025,0.031,0.037,0.042,0.046,0.049,0.052,0.054
1999-01-26,30.124,0.049,0.054,0.059,0.066,0.073,0.08,0.086,0.091,0.095,0.098
1999-01-27,29.608,0.018,0.022,0.026,0.032,0.038,0.044,0.051,0.056,0.061,0.065
1999-01-28,30.552,0.028,0.035,0.04,0.045,0.051,0.057,0.064,0.07,0.076,0.081
1999-01-29,30.727,0.017,0.024,0.031,0.036,0.041,0.046,0.052,0.059,0.065,0.07
1999-02-01,30.365,-0.001,0.003,0.009,0.014,0.019,0.023,0.028,0.034,0.039,0.045
1999-02-02,29.432,-0.022,-0.023,-0.021,-0.017,-0.014,-0.01,-0.007,-0.003,0.002,0.006
1999-02-03,29.29,-0.018,-0.019,-0.021,-0.02,-0.018,-0.015,-0.013,-0.01,-0.007,-0.003
1999-02-04,27.929,-0.04,-0.046,-0.05,-0.052,-0.053,-0.052,-0.051,-0.05,-0.048,-0.046
1999-02-05,28.093,-0.018,-0.025,-0.031,-0.034,-0.038,-0.039,-0.039,-0.039,-0.038,-0.037
1999-02-08,29.015,0.014,0.01,0.005,0.001,-0.002,-0.005,-0.006,-0.007,-0.006,-0.006
1999-02-09,28.104,-0.01,-0.013,-0.016,-0.021,-0.025,-0.028,-0.03,-0.032,-0.033,-0.033
1999-02-10,28.203,-0.004,-0.005,-0.007,-0.01,-0.014,-0.017,-0.02,-0.023,-0.025,-0.025
1999-02-11,28.576,0.006,0.007,0.006,0.005,0.002,-0.001,-0.004,-0.006,-0.009,-0.01
1999-02-12,27.698,-0.017,-0.018,-0.018,-0.019,-0.021,-0.023,-0.026,-0.029,-0.032,-0.034
1999-02-16,27.435,-0.016,-0.019,-0.021,-0.022,-0.023,-0.025,-0.027,-0.03,-0.033,-0.036
1999-02-17,26.338,-0.036,-0.04,-0.044,-0.047,-0.049,-0.051,-0.054,-0.057,-0.06,-0.063
1999-02-18,25.591,-0.039,-0.046,-0.051,-0.056,-0.06,-0.063,-0.066,-0.069,-0.072,-0.076
1999-02-19,25.943,-0.011,-0.019,-0.025,-0.03,-0.035,-0.039,-0.042,-0.045,-0.049,-0.052
1999-02-22,26.129,0.002,-0.003,-0.009,-0.014,-0.019,-0.023,-0.027,-0.03,-0.033,-0.036
1999-02-23,27.292,0.033,0.033,0.031,0.027,0.024,0.02,0.017,0.014,0.011,0.008
1999-02-24,26.842,0.008,0.011,0.012,0.011,0.008,0.006,0.003,0,-0.002,-0.005
1999-02-25,26.952,0.005,0.009,0.012,0.012,0.012,0.01,0.008,0.006,0.004,0.001
1999-02-26,26.36,-0.014,-0.012,-0.01,-0.008,-0.008,-0.009,-0.01,-0.012,-0.014,-0.016
1999-03-01,26.645,-0.002,-0.002,-0.001,0.001,0.002,0.002,0.002,0,-0.001,-0.003
1999-03-02,26.085,-0.014,-0.017,-0.017,-0.017,-0.016,-0.016,-0.016,-0.016,-0.018,-0.019
1999-03-03,26.272,-0.003,-0.005,-0.007,-0.008,-0.008,-0.008,-0.007,-0.007,-0.008,-0.009
1999-03-04,26.733,0.011,0.01,0.009,0.008,0.007,0.008,0.008,0.009,0.009,0.008
1999-03-05,27.205,0.019,0.02,0.021,0.021,0.021,0.021,0.021,0.022,0.023,0.023
1999-03-08,27.918,0.028,0.032,0.035,0.037,0.038,0.038,0.039,0.04,0.041,0.043
1999-03-09,28.412,0.027,0.033,0.037,0.041,0.044,0.046,0.047,0.048,0.05,0.051
1999-03-10,28.335,0.011,0.017,0.022,0.027,0.03,0.033,0.035,0.037,0.039,0.04
1999-03-11,28.346,0.004,0.008,0.013,0.018,0.021,0.025,0.028,0.03,0.032,0.034
1999-03-12,28.126,-0.004,-0.002,0,0.004,0.008,0.011,0.014,0.017,0.019,0.021
1999-03-15,29.125,0.02,0.022,0.025,0.028,0.031,0.035,0.039,0.042,0.045,0.047
1999-03-16,29.685,0.025,0.028,0.031,0.034,0.038,0.042,0.046,0.049,0.053,0.056
1999-03-17,29.344,0.006,0.01,0.012,0.015,0.018,0.021,0.025,0.028,0.032,0.035
1999-03-18,30.277,0.022,0.027,0.031,0.034,0.037,0.041,0.044,0.048,0.052,0.055
1999-03-19,30.058,0.007,0.011,0.015,0.018,0.021,0.024,0.027,0.031,0.034,0.038
1999-03-22,30.343,0.009,0.011,0.015,0.019,0.022,0.025,0.028,0.031,0.035,0.038
1999-03-23,29.246,-0.02,-0.02,-0.019,-0.017,-0.015,-0.012,-0.01,-0.008,-0.005,-0.002
1999-03-24,30.069,0.005,0.005,0.006,0.007,0.009,0.011,0.013,0.015,0.017,0.02
1999-03-25,31.594,0.038,0.039,0.042,0.044,0.046,0.048,0.051,0.054,0.057,0.059
1999-03-26,31.276,0.016,0.019,0.022,0.024,0.026,0.029,0.031,0.034,0.037,0.04
1999-03-29,32.439,0.032,0.038,0.042,0.046,0.049,0.052,0.055,0.058,0.062,0.065
1999-03-30,32.659,0.02,0.028,0.033,0.038,0.042,0.046,0.049,0.052,0.056,0.059
1999-03-31,31.473,-0.015,-0.012,-0.007,-0.003,0,0.003,0.006,0.009,0.012,0.015
1999-04-01,32.549,0.011,0.013,0.016,0.021,0.024,0.028,0.031,0.034,0.037,0.04
1999-04-05,33.339,0.023,0.025,0.028,0.032,0.036,0.04,0.044,0.047,0.05,0.054
1999-04-06,33.032,0.008,0.009,0.012,0.014,0.018,0.022,0.025,0.029,0.032,0.035
1999-04-07,32.768,-0.002,-0,0.001,0.003,0.005,0.008,0.011,0.014,0.018,0.02
1999-04-08,33.207,0.005,0.008,0.01,0.011,0.013,0.015,0.018,0.021,0.024,0.027
1999-04-09,33.098,0.001,0.001,0.004,0.005,0.006,0.008,0.01,0.012,0.015,0.018
1999-04-12,32.659,-0.008,-0.009,-0.009,-0.008,-0.007,-0.006,-0.005,-0.003,-0.001,0.001
1999-04-13,31.649,-0.026,-0.028,-0.03,-0.031,-0.031,-0.031,-0.031,-0.03,-0.029,-0.028
1999-04-14,30.157,-0.047,-0.052,-0.056,-0.06,-0.062,-0.064,-0.065,-0.065,-0.066,-0.066
1999-04-15,31.21,-0.004,-0.01,-0.015,-0.018,-0.022,-0.024,-0.026,-0.027,-0.028,-0.029
1999-04-16,30.42,-0.015,-0.021,-0.027,-0.031,-0.035,-0.038,-0.041,-0.043,-0.045,-0.046
1999-04-19,28.445,-0.051,-0.058,-0.065,-0.071,-0.077,-0.081,-0.085,-0.089,-0.092,-0.094
1999-04-20,29.191,-0.013,-0.019,-0.025,-0.032,-0.038,-0.043,-0.048,-0.052,-0.056,-0.059
1999-04-21,28.796,-0.014,-0.019,-0.024,-0.03,-0.036,-0.042,-0.047,-0.052,-0.057,-0.06
1999-04-22,29.827,0.019,0.015,0.012,0.008,0.004,-0.001,-0.006,-0.011,-0.016,-0.02
1999-04-23,30.2,0.021,0.022,0.021,0.019,0.017,0.013,0.009,0.005,0.001,-0.003
1999-04-26,30.903,0.026,0.032,0.034,0.034,0.034,0.033,0.031,0.028,0.024,0.021
1999-04-27,29.498,-0.017,-0.014,-0.011,-0.01,-0.01,-0.011,-0.012,-0.014,-0.016,-0.019
1999-04-28,28.84,-0.028,-0.028,-0.028,-0.026,-0.026,-0.027,-0.027,-0.029,-0.031,-0.033
1999-04-29,28.818,-0.017,-0.021,-0.022,-0.022,-0.022,-0.022,-0.023,-0.024,-0.025,-0.028
1999-04-30,28.554,-0.014,-0.019,-0.022,-0.024,-0.025,-0.025,-0.026,-0.027,-0.028,-0.03
1999-05-03,28.05,-0.017,-0.023,-0.028,-0.031,-0.033,-0.035,-0.036,-0.037,-0.038,-0.04
1999-05-04,27.413,-0.024,-0.029,-0.034,-0.039,-0.043,-0.046,-0.048,-0.049,-0.051,-0.052
1999-05-05,27.786,-0.004,-0.008,-0.012,-0.016,-0.021,-0.025,-0.027,-0.03,-0.031,-0.033
1999-05-06,27.369,-0.01,-0.014,-0.017,-0.021,-0.025,-0.029,-0.033,-0.036,-0.038,-0.04
1999-05-07,27.764,0.005,0.003,0,-0.002,-0.005,-0.009,-0.013,-0.016,-0.019,-0.021
1999-05-10,27.984,0.009,0.009,0.008,0.006,0.004,0.002,-0.001,-0.004,-0.007,-0.01
1999-05-11,28.05,0.007,0.008,0.008,0.008,0.007,0.006,0.004,0.001,-0.002,-0.004
1999-05-12,28.269,0.009,0.01,0.012,0.013,0.013,0.012,0.011,0.01,0.008,0.005
1999-05-13,27.786,-0.007,-0.006,-0.005,-0.004,-0.004,-0.004,-0.004,-0.005,-0.006,-0.008
1999-05-14,26.996,-0.024,-0.026,-0.026,-0.026,-0.026,-0.026,-0.027,-0.028,-0.029,-0.03
1999-05-17,27.786,0.005,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,-0
1999-05-18,27.633,0.001,-0.001,-0.002,-0.003,-0.003,-0.003,-0.003,-0.003,-0.004,-0.004
1999-05-19,27.852,0.007,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004
1999-05-20,27.545,-0.003,-0.003,-0.004,-0.004,-0.005,-0.006,-0.006,-0.006,-0.006,-0.006
1999-05-21,27.237,-0.011,-0.01,-0.011,-0.012,-0.012,-0.013,-0.014,-0.014,-0.015,-0.015
1999-05-24,27.128,-0.009,-0.011,-0.011,-0.011,-0.012,-0.013,-0.014,-0.015,-0.016,-0.016
1999-05-25,26.777,-0.013,-0.016,-0.018,-0.019,-0.019,-0.021,-0.022,-0.023,-0.024,-0.025
1999-05-26,27.567,0.013,0.011,0.01,0.009,0.008,0.008,0.007,0.006,0.005,0.004
1999-05-27,27.523,0.008,0.008,0.007,0.007,0.006,0.006,0.005,0.004,0.004,0.003
1999-05-28,28.335,0.024,0.026,0.028,0.029,0.029,0.029,0.029,0.029,0.029,0.029
1999-06-01,27.567,-0.005,-0.003,-0.001,0,0,0.001,0.001,0.001,0.001,0.001
1999-06-02,27.545,-0.006,-0.004,-0.003,-0.001,-0.001,-0,-0,-0,0,0
1999-06-03,26.82,-0.022,-0.023,-0.023,-0.023,-0.022,-0.022,-0.022,-0.022,-0.023,-0.023
1999-06-04,27.94,0.015,0.014,0.013,0.014,0.014,0.015,0.016,0.016,0.016,0.016
1999-06-07,28.181,0.017,0.017,0.017,0.017,0.018,0.019,0.02,0.021,0.021,0.021
1999-06-08,27.874,0.002,0.004,0.004,0.004,0.005,0.006,0.006,0.007,0.008,0.008
1999-06-09,28.906,0.024,0.028,0.031,0.032,0.033,0.034,0.035,0.037,0.038,0.039
1999-06-10,28.05,-0.007,-0.004,-0.002,0,0.001,0.002,0.003,0.004,0.005,0.006
1999-06-11,27.435,-0.02,-0.021,-0.02,-0.019,-0.018,-0.017,-0.017,-0.016,-0.015,-0.015
1999-06-14,27.237,-0.017,-0.02,-0.021,-0.021,-0.021,-0.02,-0.02,-0.02,-0.02,-0.02
1999-06-15,27.281,-0.008,-0.011,-0.014,-0.015,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016
1999-06-16,28.445,0.026,0.024,0.023,0.022,0.021,0.022,0.022,0.022,0.022,0.022
1999-06-17,29.103,0.032,0.035,0.035,0.036,0.036,0.036,0.037,0.038,0.039,0.04
1999-06-18,29.849,0.035,0.041,0.045,0.047,0.049,0.051,0.052,0.054,0.055,0.056
1999-06-21,31.232,0.048,0.058,0.065,0.071,0.075,0.079,0.082,0.084,0.087,0.089
1999-06-22,30.376,0.006,0.014,0.021,0.028,0.033,0.037,0.041,0.044,0.046,0.049
1999-06-23,30.2,-0.004,0,0.006,0.012,0.018,0.022,0.026,0.029,0.032,0.035
1999-06-24,29.718,-0.016,-0.015,-0.012,-0.008,-0.003,0.001,0.005,0.008,0.011,0.013
1999-06-25,29.827,-0.007,-0.009,-0.008,-0.007,-0.003,0,0.004,0.007,0.01,0.013
1999-06-28,30.464,0.012,0.01,0.009,0.01,0.012,0.015,0.018,0.021,0.025,0.027
1999-06-29,30.903,0.018,0.019,0.018,0.019,0.02,0.021,0.024,0.027,0.031,0.034
1999-06-30,31.671,0.027,0.03,0.033,0.034,0.035,0.036,0.039,0.042,0.045,0.049
1999-07-01,32.022,0.021,0.027,0.031,0.034,0.036,0.038,0.04,0.042,0.045,0.049
1999-07-02,32.307,0.016,0.022,0.027,0.031,0.034,0.037,0.039,0.041,0.044,0.047
1999-07-06,31.452,-0.011,-0.008,-0.004,-0,0.003,0.006,0.008,0.009,0.012,0.014
1999-07-07,32.417,0.012,0.014,0.017,0.02,0.024,0.027,0.03,0.032,0.034,0.037
1999-07-08,32.505,0.009,0.01,0.013,0.015,0.019,0.022,0.025,0.028,0.03,0.032
1999-07-09,32.746,0.01,0.012,0.013,0.016,0.018,0.021,0.024,0.027,0.03,0.032
1999-07-12,33.076,0.012,0.014,0.016,0.018,0.021,0.023,0.026,0.029,0.032,0.035
1999-07-13,32.878,0.002,0.004,0.006,0.008,0.01,0.012,0.014,0.017,0.02,0.023
1999-07-14,33.339,0.009,0.011,0.014,0.016,0.018,0.019,0.022,0.024,0.027,0.029
1999-07-15,33.142,0.001,0.002,0.004,0.006,0.008,0.009,0.011,0.013,0.015,0.018
1999-07-16,34.919,0.035,0.039,0.042,0.044,0.047,0.05,0.052,0.055,0.057,0.06
1999-07-19,34.546,0.013,0.017,0.02,0.024,0.026,0.029,0.032,0.035,0.037,0.04
1999-07-20,32.768,-0.029,-0.028,-0.027,-0.025,-0.023,-0.022,-0.02,-0.018,-0.016,-0.014
